,algorithm,index,Similarity_Type,Number of Clusters (input),Number of clusters(output),Word/Sentence,File_Name,Clusters,Mismatch Metric,Match Metric,M,False Positive,False Negative
10,birch,11,vec_similairy,100,100,sentence-based,n1400_dn,"[31  9  1 ..., 46  1 69]",52458.0,0.0,7.5,52458.0,0.0
11,ward_clustering,12,vec_similairy,100,100,sentence-based,n1400_dn,"[60 72 10 ..., 10 97 77]",37416.0,0.0,9.0,37416.0,0.0
12,spectralـnearest_neighbors,13,skipthoughts_similarity,100,100,sentence-based,n1400_dn,"[31 38  0 ..., 92 24 13]",34838.0,0.0,12.0,34838.0,0.0
13,spectralـprecomputed,14,skipthoughts_similarity,100,100,sentence-based,n1400_dn,"[91 37 10 ..., 75 26 71]",26418.0,0.0,13.0,26418.0,0.0
14,spectralـrbf,15,skipthoughts_similarity,100,100,sentence-based,n1400_dn,"[54  0  0 ...,  5  0 92]",1093452.0,0.0,2.0,1093452.0,0.0
15,spectralـsigmoid,16,skipthoughts_similarity,100,100,sentence-based,n1400_dn,"[44 82 82 ..., 44 82 44]",287910.0,0.0,1.0,287910.0,0.0
16,spectralـpolynomial,17,skipthoughts_similarity,100,100,sentence-based,n1400_dn,"[ 6 79  1 ..., 17 89 60]",78954.0,0.0,1.0,78954.0,0.0
17,spectralـpoly,18,skipthoughts_similarity,100,100,sentence-based,n1400_dn,"[74 96  3 ..., 37 42 96]",76674.0,0.0,1.0,76674.0,0.0
18,spectralـlinear,19,skipthoughts_similarity,100,100,sentence-based,n1400_dn,"[98 27  4 ..., 98  3 98]",183776.0,0.0,1.0,183776.0,0.0
19,agglomerative_clustering,20,skipthoughts_similarity,100,100,sentence-based,n1400_dn,"[19 35 20 ..., 17 81 38]",34552.0,0.0,10.0,34552.0,0.0
20,affinity_propagation,21,skipthoughts_similarity,100,103,sentence-based,n1400_dn,"[25 68 11 ..., 85 88 83]",24908.0,0.0,12.0,24908.0,0.0
21,kmeans,22,skipthoughts_similarity,100,100,sentence-based,n1400_dn,"[33 50 64 ..., 36 83 30]",24100.0,0.0,13.0,24100.0,0.0
22,birch,23,skipthoughts_similarity,100,100,sentence-based,n1400_dn,"[60 95  3 ..., 29 72 31]",26502.0,0.0,11.0,26502.0,0.0
23,ward_clustering,24,skipthoughts_similarity,100,100,sentence-based,n1400_dn,"[57 95  3 ..., 31 71 32]",25576.0,0.0,11.5,25576.0,0.0
24,spectralـnearest_neighbors,25,num_word_similarity,100,100,sentence-based,n1400_dn,"[87 63  9 ..., 53 18 72]",81570.0,0.0,10.5,81570.0,0.0
25,spectralـprecomputed,26,num_word_similarity,100,100,sentence-based,n1400_dn,"[24 73 94 ..., 73 89 50]",110770.0,0.0,1.0,110770.0,0.0
26,spectralـrbf,27,num_word_similarity,100,100,sentence-based,n1400_dn,"[34 34 34 ...,  9 34 70]",719344.0,0.0,1.0,719344.0,0.0
27,spectralـsigmoid,28,num_word_similarity,100,1,sentence-based,n1400_dn,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1960000.0,0.0,1400.0,1960000.0,0.0
28,spectralـpolynomial,29,num_word_similarity,100,100,sentence-based,n1400_dn,"[83 61 63 ..., 89 63 83]",370232.0,0.0,2.0,370232.0,0.0
29,spectralـpoly,30,num_word_similarity,100,100,sentence-based,n1400_dn,"[20  3 28 ..., 12  3  1]",439892.0,0.0,2.0,439892.0,0.0
30,spectralـlinear,31,num_word_similarity,100,100,sentence-based,n1400_dn,"[29 84 42 ...,  3  0 10]",31870.0,0.0,13.5,31870.0,0.0
31,agglomerative_clustering,32,num_word_similarity,100,100,sentence-based,n1400_dn,"[ 0 43 23 ..., 15 38 19]",113818.0,0.0,3.5,113818.0,0.0
32,affinity_propagation,33,num_word_similarity,100,46,sentence-based,n1400_dn,"[14 41 41 ...,  6  1 37]",63860.0,0.0,31.0,63860.0,0.0
33,kmeans,34,num_word_similarity,100,100,sentence-based,n1400_dn,"[69  2  2 ..., 55 15 31]",35288.0,0.0,11.0,35288.0,0.0
34,birch,35,num_word_similarity,100,100,sentence-based,n1400_dn,"[52  4  4 ..., 86 98 48]",37894.0,0.0,11.0,37894.0,0.0
35,ward_clustering,36,num_word_similarity,100,100,sentence-based,n1400_dn,"[45  2 35 ..., 37 53  3]",36898.0,0.0,11.0,36898.0,0.0
36,spectralـnearest_neighbors,37,total_set_similairy,100,100,sentence-based,n1400_dn,"[87  2 62 ..., 61 34 52]",56568.0,0.0,12.0,56568.0,0.0
37,spectralـprecomputed,38,total_set_similairy,100,100,sentence-based,n1400_dn,"[34 14 94 ..., 38 79  4]",64600.0,0.0,5.0,64600.0,0.0
38,spectralـrbf,39,total_set_similairy,100,100,sentence-based,n1400_dn,"[ 4 43 11 ..., 90 59 54]",38490.0,0.0,11.5,38490.0,0.0
39,spectralـsigmoid,40,total_set_similairy,100,100,sentence-based,n1400_dn,"[0 0 0 ..., 0 0 0]",1690102.0,0.0,1.0,1690102.0,0.0
40,spectralـpolynomial,41,total_set_similairy,100,100,sentence-based,n1400_dn,"[ 3 95 95 ..., 59 14  1]",193564.0,0.0,1.0,193564.0,0.0
41,spectralـpoly,42,total_set_similairy,100,100,sentence-based,n1400_dn,"[85 93 36 ...,  3 36  2]",228326.0,0.0,1.0,228326.0,0.0
42,spectralـlinear,43,total_set_similairy,100,100,sentence-based,n1400_dn,"[87 10  0 ..., 51 10  0]",560036.0,0.0,1.0,560036.0,0.0
43,agglomerative_clustering,44,total_set_similairy,100,100,sentence-based,n1400_dn,"[83 84 21 ..., 44 24 60]",108054.0,0.0,3.0,108054.0,0.0
44,affinity_propagation,45,total_set_similairy,100,107,sentence-based,n1400_dn,"[50 10 22 ..., 59 22 82]",38854.0,0.0,6.0,38854.0,0.0
45,kmeans,46,total_set_similairy,100,100,sentence-based,n1400_dn,"[28 19 38 ..., 83 33 70]",36516.0,0.0,10.0,36516.0,0.0
46,birch,47,total_set_similairy,100,41,sentence-based,n1400_dn,"[ 6  1  1 ..., 15  1  1]",533980.0,0.0,2.0,533980.0,0.0
47,ward_clustering,48,total_set_similairy,100,100,sentence-based,n1400_dn,"[97  2 30 ..., 39 13 56]",37170.0,0.0,9.0,37170.0,0.0
48,spectralـnearest_neighbors,49,max_set_similairy,100,100,sentence-based,n1400_dn,"[99 55 86 ..., 54 30  5]",65932.0,0.0,11.0,65932.0,0.0
49,spectralـprecomputed,50,max_set_similairy,100,100,sentence-based,n1400_dn,"[ 4  4 42 ..., 74 13 42]",54912.0,0.0,2.0,54912.0,0.0
50,spectralـrbf,51,max_set_similairy,100,100,sentence-based,n1400_dn,"[ 0  0  0 ...,  5  0 76]",737560.0,0.0,2.0,737560.0,0.0
51,spectralـsigmoid,52,max_set_similairy,100,100,sentence-based,n1400_dn,"[ 1 97 41 ..., 64 44 52]",234428.0,0.0,1.0,234428.0,0.0
52,spectralـpolynomial,53,max_set_similairy,100,100,sentence-based,n1400_dn,"[10  0 16 ...,  5 19 66]",64008.0,0.0,1.0,64008.0,0.0
53,spectralـpoly,54,max_set_similairy,100,100,sentence-based,n1400_dn,"[32  7 14 ..., 13 16  1]",64112.0,0.0,1.0,64112.0,0.0
54,spectralـlinear,55,max_set_similairy,100,100,sentence-based,n1400_dn,"[ 9  6  1 ...,  7 30 72]",174208.0,0.0,1.0,174208.0,0.0
55,agglomerative_clustering,56,max_set_similairy,100,100,sentence-based,n1400_dn,"[ 9  9 67 ..., 83 19 83]",526490.0,0.0,2.0,526490.0,0.0
56,affinity_propagation,57,max_set_similairy,100,203,sentence-based,n1400_dn,"[179  16 181 ..., 169 188 101]",37632.0,0.0,2.0,37632.0,0.0
57,kmeans,58,max_set_similairy,100,100,sentence-based,n1400_dn,"[64 23 16 ..., 42 34 58]",39736.0,0.0,8.0,39736.0,0.0
58,birch,59,max_set_similairy,100,100,sentence-based,n1400_dn,"[30 55 11 ..., 45  7 78]",46818.0,0.0,6.5,46818.0,0.0
59,ward_clustering,60,max_set_similairy,100,100,sentence-based,n1400_dn,"[45 59 24 ..., 42 13 91]",49602.0,0.0,6.5,49602.0,0.0
