,cluster,n,keywords,idea
31,1,0,[],remove all non commercial traffic.  have extensive light rail connected to robust subway system.  have storage containers deliver large goods.
32,1,0,[],"ROAD TRANSPORT - BICYCLE (GOOD EXERCISE FOR OUR WHOLE BODY, LOW COST AND NO POLLUTION."
33,1,0,[],"Sleeper buses that pick you up after a night of drinking, and take you to your workplace in the morning, which include showers."
34,1,0,[],Smarter stop lights that are better at managing traffic congestion
35,1,0,[],"Something like Uber or Lyft, but for getting kids to school. This way it's on an as needed basis rather than paying a flat fee for bus service that may not always be used for one reason or another. Especially when the child is staying late for practice or what not."
36,1,0,[],"Telepads! The Transportation of the Future! Simply step on this portal pad, and you are instantly transported to your location! The movement of molecules into energy is completely safe, and many users only experience a minor burning sensation for a minute after the teleportation process. Forget flying cars, late trains or other outdated modes of transport, and tele away with Telepads!"
37,1,0,[],There should be a place to rent bicycles for a nominal fee for a day like they do in the big cities. You can rent a bicycle and return it to any place that also rents the same bicycles. You could also rent scooters to be able to do small errands around town.
38,1,0,[],"There should be large carousel in the city that circles the block, so people just get on a horse and go where they can."
39,1,0,[],Uber like school bus system
40,1,0,[],Underground walkways at traffic intersections. This would eliminate the need for crosswalks and improve the flow of traffic.
41,1,0,[],Vacuum tunnels like the ones that banks use. Get into a pod and set a destination.
42,1,0,[],we can have a carpooling service where people drive together for free. gas is paid for by every 10th person.
43,1,0,[],"We have a lot of old and unused train tracks in my town, so I like to create some kind of manually powered train type vehicle that would each fit several people and could be propelled forward either manually for free or with power for a fee."
44,1,0,[],we introduce solar vehicles.
45,1,0,[],This transportation system would be the most spectacular to the entire neighborhood. It is a neighborhood vehicle hub system. It is a hub where everyone with an android or ios or windows phone can open an app and rent out a car or a bike to use around the neighborhood with the additional benefit on these hubs being eco friendly public restrooms with vending machines for those that wish to travel locally and have the munchies.
46,1,0,[],This would be a bike lane that would be protected from other vehicles. It would make biking more safe and efficient. Bicycles would move in one road and cars would be on a different one. Cars would have to give the right of way to bicycles.
47,1,0,[],Three wheels auto two in back and one in front. 4 to 5 people can travel in it.
48,1,0,[],"Ticket sharing system for people who make infrequent trips into the city, or suddenly need to do several trips in a row. A group of people could collectively share a commuter pass for the train or bus system. It would be like a Netflix of commuter passes. The ticket could be held in an existing business or maybe a library, and the ticket would be checked out like a book. People would pay each day they hold the ticket."
49,1,0,[],To reduce gridlock and rush hour traffic governments should offer tax incentives for employers offering a staggered work day. I.e. Employees scheduled to be gin work at different times rather than the 7-10 o'clock  morning hour.
50,1,0,[],"Tracks built into the bicycle lanes on roadways that you can click a seat into and ""ride"" to your destination"
51,1,0,[],train
52,1,0,[],Train on tracks.  A small and slow train on preset track for people to enjoy the neighborhood.
53,1,0,[],Transportation based on carts. Everyone gets on a cart that moves from street to street. It stops only briefly to let people on and off.
54,1,0,[],"Transportation by shopping cart taxis. It's fun, it's cheap, and it'll certainly get the kids on board."
55,1,0,[],"Transportation is mostly done by cars nowadays, but why don't we use rocket powered shoes instead? Flying with footwear is not only cool, it would be much faster than driving."
56,1,0,[],Transportation that would allow people to rent out electric self driving cars. This would let people have cars pick them up at whatever location they want and have the car autonomously drive to their destination. Similar to a fleet of self driving electric taxis. This would greatly reduce the cost of transportation in my opinion because people would not have to buy cars but could rather rent or lease them.
57,1,0,[],transportation vehicles
58,1,0,[],Transportation would not be about getting the general population from home to work and back. It would be about moving goods and services to people directly.This will require drone technologiy so that road infrastructure could be used to get bulk items from one place to another more efficiently and faster. Public transportation should be the rule.
59,1,0,[],"Travel by wire 10 ft above ground, like a ski lift."
60,1,0,[],Trolley line that goes up and down the hill I live so that residents can reach the shopping center more easily.
61,1,0,[],Tubes that are linked together and are wide enough to fit a person laying down. People get in a capsule and are delivered in great speeds to their destination by using compressed air or other methods. You can have tube terminals all over the city.
62,1,0,[],Tubes that fly you around really fast like. It would be free and you could feel air wishing by you.
63,1,0,[],"Tubes. Interconnected web that you can get in at your front door, arrive at your destination all while sitting back and relaxing."
64,1,0,[],"Tunnels, a series of tunnels to and from various nodes around the neighborhood, with access at most corners. These would have flat conveyors to make movement faster than normal walking much like in airports but also be underground to be out of the way and avoid unpleasant weather."
65,1,0,[],Uber bus.
66,1,0,[],Uber carpooling: People who are going to a similar destination can choose to carpool.
67,1,0,[],"Uber Drone. They can come to you at any location, much like a helicopter, but can also deliver you where you need to go much quicker."
68,1,0,[],Uber for helicopters.
69,1,0,[],"Uber is not currently available in my area, because it is not seen as a large enough ""metro"" area. I believe that if several of the small communities pooled together, there would be enough available and willing drivers to start a less urban and more suburban/rural version of a paid ridesharing service. Since the communities would be pooled, there would likely be drivers from many different areas of the community, so a larger geographic area could be served."
70,1,0,[],Uber limo. Essentially uber but for big groups of people that want to look like ballers.
71,1,0,[],uber lyft or any taxi cabs we are a rural area very large and towns near or past 30 min away from eachother. having a taxi service would be very appreciative and would also bring more jobs locally throughout the whole southern part of this state really/
72,1,0,[],"Uber pedicab for downtown service.  This service could be used downtown to help people who only have to go a short distance to get to their destination.  Pedicabs are fun and instead of them having to ride around looking for people to pick up, people could request them from a phone app."
73,1,0,[],"Uber style delivery service. When someone needs something picked up (groceries, take out order, new TV, etc) they can use the Uber style app to let a driver know where and what needs picking up and where it needs to be delivered. This could be great for restaurants that don't deliver. If it's added as part of the Uber platform it could probably be cheaper than delivery fees from the places that deliver from restaurants"
74,1,0,[],Uber-like service that has small personal celf-drive cars that are shared by the community. App interface to request a car and specify whether you are willing to share you car with a small number of other people
75,1,0,[],Uberbus. Uber hiring for large amounts of people to be transported.
76,1,0,[],"Ultimate monkey bars.  People are too fat in my area, forcing them to travel via monkey bars across the neighborhood should help not only with emission decrease, but weight decrease as well!  There will just be an overhead system running the lengths of the sidewalks at 7 foot high so no one gets hurt if they fall."
77,1,0,[],underground subway that extends to all major neighborhoods. It would be fast and convenient to use.
78,1,0,[],Underground tunnels to get from place to place.
79,1,0,[],Underground walking tunnels (some colleges in cold climates have this) you can bike ride in them too.
80,1,0,[],"Unfortunately, I live in a very small/rural town, so future transportation system would likely be simple public bus transit."
81,1,0,[],"Use a sky rail train to transport people.  Similar to a subway, but rather than below ground, it would be above ground."
82,1,0,[],Use a sky train
83,1,0,[],Use bicycles as the exclusive form of transportation. Get rid of all cars.
84,1,0,[],"Use CNG Gas in Autos, Taxi, Buses and Other Public Transport System.Encouarge People to use Public Transport System to avoid Traffic Congestion and Air Pollution.Give Tax Subsidies for Less Pollution Technologies."
85,1,0,[],Use of a sky tram.  It runs over the roads so that it doesn't increase traffic.
86,1,0,[],Use of earthbags for construction of houses should be a standard practice with standerdised engineering built in the program.
87,1,0,[],use self-driving cars to get to different parts of the city
88,1,0,[],use the Motorcycle do not any trafic
89,1,0,[],"Using autonomous cars/vehicles as taxis that you can rent and have escort you anywhere you would like to go in your area. Cars will be equipped with GPS so customers can log where their destinations, etc."
90,1,0,[],using Biogas as fuel are also good innovative thing which makes goood transportation system .
91,1,0,[],Using boats to travel in Miami to beat the rush hour traffic. It's quite simple to travel anywhere in Miami by using the canals and various waterways. Boats or ferries should be used not just for sight seeing but for public transportation.
92,1,0,[],Using driver-less vehicles as a taxi service around town by allowing residents to reserve a ride at any time by using the town's website.
93,1,0,[],"Using electrics cars as the main source of transportation. By using renewable energy as a way to recharge the cars, we would dramatically change the way we use energy for the better."
94,1,0,[],Using horses on the streets.
95,1,0,[],Using train and bike will be good transportation mode which reduces cost of living and be good as they wont harm atmosphere.
96,1,0,[],UTILIZE SCHOOL BUSES DURING DOWN TIME TO GIVE CHEAP RIDES
97,1,0,[],vaccum system of tubes like at a bank.  High speed escalators.  Conveyor system for cars on the interstate.
98,1,0,[],Vacuum tube travel with a central hub in various outlying cities
99,1,0,[],"Help public transit bring people to holiday events,fairs, festivals and sporting events in my community. Be sure to  with my local public transit system"
100,2,21,['transportation'],"A great mode of transportation in my neighborhood could be a bus or tram that runs along the local parkway (a road that basically goes across the whole town) people would be able to hop on it and ride it to their destination and be there within walking distance when getting off the bus/tram. Could be relatively cheap, clear up traffic with less people having to drive around, and is highly economical."
101,2,21,['transportation'],"I can imagine a speedbus being a new form of transportation.  It can have its own lane or tracks, and go as fast or faster than a train."
102,2,21,['transportation'],"I think having a streetcar system would be amazing, it could be automated to accept fares, and would provide safe transportation for all."
103,2,21,['transportation'],"I think it would be great to have a jitney-type bus that you could hail like a cab directly from the street.  The jitney would be electric powered and follow a specific route.  I think this would be great because I live in a town that has many tourists, but does not have a large population.  It could shuttle tourists to different areas, but the tourists wouldn't have to worry about a specific bus schedule.  The jitney could drive on streets that are not bus-accessible (some of our streets are ""old world"" and very narrow). There is also some frustration in my town about not having a vibrant night life because of lack of public transportation.  This jitney would allow people to go downtown, especially college students, and have some drinks without worrying about driving.  One of the stops would be the college campus. The jitney would have a very low fair to encourage people not to drink and drive.  This jitney would help downtown businesses and restaurants."
104,2,21,['transportation'],In the city i live in there is no public transportation. If some rails or buses could be brought in it could help a lot of people here.
105,2,21,['transportation'],"My neighborhood will continue to use mainly personal vehicles as a mode of transportation, though the downtown area is working on an underground rail system."
106,2,21,['transportation'],personal transportation is one of the best innovation.
107,2,21,['transportation'],"Telepads! The Transportation of the Future! Simply step on this portal pad, and you are instantly transported to your location! The movement of molecules into energy is completely safe, and many users only experience a minor burning sensation for a minute after the teleportation process. Forget flying cars, late trains or other outdated modes of transport, and tele away with Telepads!"
108,2,21,['transportation'],This transportation system would be the most spectacular to the entire neighborhood. It is a neighborhood vehicle hub system. It is a hub where everyone with an android or ios or windows phone can open an app and rent out a car or a bike to use around the neighborhood with the additional benefit on these hubs being eco friendly public restrooms with vending machines for those that wish to travel locally and have the munchies.
109,2,21,['transportation'],Transportation based on carts. Everyone gets on a cart that moves from street to street. It stops only briefly to let people on and off.
110,2,21,['transportation'],"Transportation by shopping cart taxis. It's fun, it's cheap, and it'll certainly get the kids on board."
111,2,21,['transportation'],"Transportation is mostly done by cars nowadays, but why don't we use rocket powered shoes instead? Flying with footwear is not only cool, it would be much faster than driving."
112,2,21,['transportation'],Transportation that would allow people to rent out electric self driving cars. This would let people have cars pick them up at whatever location they want and have the car autonomously drive to their destination. Similar to a fleet of self driving electric taxis. This would greatly reduce the cost of transportation in my opinion because people would not have to buy cars but could rather rent or lease them.
113,2,21,['transportation'],transportation vehicles
114,2,21,['transportation'],Transportation would not be about getting the general population from home to work and back. It would be about moving goods and services to people directly.This will require drone technologiy so that road infrastructure could be used to get bulk items from one place to another more efficiently and faster. Public transportation should be the rule.
115,2,21,['transportation'],"Unfortunately, I live in a very small/rural town, so future transportation system would likely be simple public bus transit."
116,2,21,['transportation'],Use bicycles as the exclusive form of transportation. Get rid of all cars.
117,2,21,['transportation'],using Biogas as fuel are also good innovative thing which makes goood transportation system .
118,2,21,['transportation'],Using boats to travel in Miami to beat the rush hour traffic. It's quite simple to travel anywhere in Miami by using the canals and various waterways. Boats or ferries should be used not just for sight seeing but for public transportation.
119,2,21,['transportation'],"Using electrics cars as the main source of transportation. By using renewable energy as a way to recharge the cars, we would dramatically change the way we use energy for the better."
120,2,21,['transportation'],Using train and bike will be good transportation mode which reduces cost of living and be good as they wont harm atmosphere.
121,3,19,['system'],A human taxi system like they have in Asian countries. A guy can run around with a cart and pick up passengers.
122,3,19,['system'],I imagine a magnetic public hovercraft system that goes to individual homes on a grid.
123,3,19,['system'],"I think having a streetcar system would be amazing, it could be automated to accept fares, and would provide safe transportation for all."
124,3,19,['system'],I would love to see a light rail system in my community. I am thinking of above ground trains that would run to the various suburbs and take people to various local stops. These trains should run a regular schedule so people can use them to commute.
125,3,19,['system'],"I'm imagining a car sharing service with locations throughout the city where you can go pick up a car without having to reserve one in advance. Nor would you have to interact with any people at the pickup/dropoff location. It would be somehow automated. Perhaps you would subscribe to the service an at annual or monthly rate and be given a special kind of 'key' that would give access to any of the cars currently at the pick up location. It would be first come first serve, and there would be smart technology embedded in both the cars and the keys. Your universal key would be linked to your account, and the car you used would transmit all relevant information to the system. Such as , time of pick up. number of miles drive. amount of gas used. Then the fees would be adjusted accordingly based on the type of car you used, miles driven, gas consumed etc. all of this without any human employees and all the fuss that comes with tradiional car rental. Things like insurance and billing info would all be done upfront when a patron sets up an account. This is genius, the more i think about it!"
126,3,19,['system'],Make an interstate system that is powered by a conveyor belt.
127,3,19,['system'],my city needs a subway system badly. A subway system would run in a star shaped pattern through the city and eliminate the terrible traffic in my city
128,3,19,['system'],"My neighborhood will continue to use mainly personal vehicles as a mode of transportation, though the downtown area is working on an underground rail system."
129,3,19,['system'],"My small rural town doesn't even have an intact bus system, so anything would be better than it is now. But I would like a service that has people who drive pick up trucks to help you move things. For instance, if you go to the store and purchase a new couch, I'd like to have something like Uber for Pick Up Trucks to call and have them bring my sofa home so that I don't have to pay for outragious delivery fees from the store."
130,3,19,['system'],remove all non commercial traffic.  have extensive light rail connected to robust subway system.  have storage containers deliver large goods.
131,3,19,['system'],Uber like school bus system
132,3,19,['system'],This transportation system would be the most spectacular to the entire neighborhood. It is a neighborhood vehicle hub system. It is a hub where everyone with an android or ios or windows phone can open an app and rent out a car or a bike to use around the neighborhood with the additional benefit on these hubs being eco friendly public restrooms with vending machines for those that wish to travel locally and have the munchies.
133,3,19,['system'],"Ticket sharing system for people who make infrequent trips into the city, or suddenly need to do several trips in a row. A group of people could collectively share a commuter pass for the train or bus system. It would be like a Netflix of commuter passes. The ticket could be held in an existing business or maybe a library, and the ticket would be checked out like a book. People would pay each day they hold the ticket."
134,3,19,['system'],"Ultimate monkey bars.  People are too fat in my area, forcing them to travel via monkey bars across the neighborhood should help not only with emission decrease, but weight decrease as well!  There will just be an overhead system running the lengths of the sidewalks at 7 foot high so no one gets hurt if they fall."
135,3,19,['system'],"Unfortunately, I live in a very small/rural town, so future transportation system would likely be simple public bus transit."
136,3,19,['system'],"Use CNG Gas in Autos, Taxi, Buses and Other Public Transport System.Encouarge People to use Public Transport System to avoid Traffic Congestion and Air Pollution.Give Tax Subsidies for Less Pollution Technologies."
137,3,19,['system'],using Biogas as fuel are also good innovative thing which makes goood transportation system .
138,3,19,['system'],vaccum system of tubes like at a bank.  High speed escalators.  Conveyor system for cars on the interstate.
139,3,19,['system'],"Help public transit bring people to holiday events,fairs, festivals and sporting events in my community. Be sure to  with my local public transit system"
140,4,16,['car'],"A magnetic railway car, like a trolley, that moves and stops by people pressing buttons on the side of the road"
141,4,16,['car'],"A way to connect your car with a mobile phone app - you would broadcast your intended route (such as commuting home from work) and share this route with people in your local area. For a small fee (under $5) - someone could ask to ""Ride Along"" with you along your route - but with no deviations - they would be allowed to get out along the way, but not change your intended path of travel."
142,4,16,['car'],"Car sharing. Everyone can join a club which has some monthly fee, let's say $100. If they pay this, then they find someone who lets them ride everyday with them to work and back home. They driver gets most of the money (the rest goes to overhead) and takes them to and from work everyday. So I guess it's like a taxi service with a monthly fee, hopefully that using people that work with you at your job."
143,4,16,['car'],"I'm imagining a car sharing service with locations throughout the city where you can go pick up a car without having to reserve one in advance. Nor would you have to interact with any people at the pickup/dropoff location. It would be somehow automated. Perhaps you would subscribe to the service an at annual or monthly rate and be given a special kind of 'key' that would give access to any of the cars currently at the pick up location. It would be first come first serve, and there would be smart technology embedded in both the cars and the keys. Your universal key would be linked to your account, and the car you used would transmit all relevant information to the system. Such as , time of pick up. number of miles drive. amount of gas used. Then the fees would be adjusted accordingly based on the type of car you used, miles driven, gas consumed etc. all of this without any human employees and all the fuss that comes with tradiional car rental. Things like insurance and billing info would all be done upfront when a patron sets up an account. This is genius, the more i think about it!"
144,4,16,['car'],pod like stock cars for city that run on electric. They can be in routes and be like taxis but driverless.
145,4,16,['car'],"Telepads! The Transportation of the Future! Simply step on this portal pad, and you are instantly transported to your location! The movement of molecules into energy is completely safe, and many users only experience a minor burning sensation for a minute after the teleportation process. Forget flying cars, late trains or other outdated modes of transport, and tele away with Telepads!"
146,4,16,['car'],This transportation system would be the most spectacular to the entire neighborhood. It is a neighborhood vehicle hub system. It is a hub where everyone with an android or ios or windows phone can open an app and rent out a car or a bike to use around the neighborhood with the additional benefit on these hubs being eco friendly public restrooms with vending machines for those that wish to travel locally and have the munchies.
147,4,16,['car'],This would be a bike lane that would be protected from other vehicles. It would make biking more safe and efficient. Bicycles would move in one road and cars would be on a different one. Cars would have to give the right of way to bicycles.
148,4,16,['car'],"Transportation is mostly done by cars nowadays, but why don't we use rocket powered shoes instead? Flying with footwear is not only cool, it would be much faster than driving."
149,4,16,['car'],Transportation that would allow people to rent out electric self driving cars. This would let people have cars pick them up at whatever location they want and have the car autonomously drive to their destination. Similar to a fleet of self driving electric taxis. This would greatly reduce the cost of transportation in my opinion because people would not have to buy cars but could rather rent or lease them.
150,4,16,['car'],Uber-like service that has small personal celf-drive cars that are shared by the community. App interface to request a car and specify whether you are willing to share you car with a small number of other people
151,4,16,['car'],Use bicycles as the exclusive form of transportation. Get rid of all cars.
152,4,16,['car'],use self-driving cars to get to different parts of the city
153,4,16,['car'],"Using autonomous cars/vehicles as taxis that you can rent and have escort you anywhere you would like to go in your area. Cars will be equipped with GPS so customers can log where their destinations, etc."
154,4,16,['car'],"Using electrics cars as the main source of transportation. By using renewable energy as a way to recharge the cars, we would dramatically change the way we use energy for the better."
155,4,16,['car'],vaccum system of tubes like at a bank.  High speed escalators.  Conveyor system for cars on the interstate.
156,5,13,['service'],"Car sharing. Everyone can join a club which has some monthly fee, let's say $100. If they pay this, then they find someone who lets them ride everyday with them to work and back home. They driver gets most of the money (the rest goes to overhead) and takes them to and from work everyday. So I guess it's like a taxi service with a monthly fee, hopefully that using people that work with you at your job."
157,5,13,['service'],Combining food delivery services with taxi driving to maximize efficiency.
158,5,13,['service'],"I'm imagining a car sharing service with locations throughout the city where you can go pick up a car without having to reserve one in advance. Nor would you have to interact with any people at the pickup/dropoff location. It would be somehow automated. Perhaps you would subscribe to the service an at annual or monthly rate and be given a special kind of 'key' that would give access to any of the cars currently at the pick up location. It would be first come first serve, and there would be smart technology embedded in both the cars and the keys. Your universal key would be linked to your account, and the car you used would transmit all relevant information to the system. Such as , time of pick up. number of miles drive. amount of gas used. Then the fees would be adjusted accordingly based on the type of car you used, miles driven, gas consumed etc. all of this without any human employees and all the fuss that comes with tradiional car rental. Things like insurance and billing info would all be done upfront when a patron sets up an account. This is genius, the more i think about it!"
159,5,13,['service'],"My small rural town doesn't even have an intact bus system, so anything would be better than it is now. But I would like a service that has people who drive pick up trucks to help you move things. For instance, if you go to the store and purchase a new couch, I'd like to have something like Uber for Pick Up Trucks to call and have them bring my sofa home so that I don't have to pay for outragious delivery fees from the store."
160,5,13,['service'],"Something like Uber or Lyft, but for getting kids to school. This way it's on an as needed basis rather than paying a flat fee for bus service that may not always be used for one reason or another. Especially when the child is staying late for practice or what not."
161,5,13,['service'],we can have a carpooling service where people drive together for free. gas is paid for by every 10th person.
162,5,13,['service'],Transportation would not be about getting the general population from home to work and back. It would be about moving goods and services to people directly.This will require drone technologiy so that road infrastructure could be used to get bulk items from one place to another more efficiently and faster. Public transportation should be the rule.
163,5,13,['service'],"Uber is not currently available in my area, because it is not seen as a large enough ""metro"" area. I believe that if several of the small communities pooled together, there would be enough available and willing drivers to start a less urban and more suburban/rural version of a paid ridesharing service. Since the communities would be pooled, there would likely be drivers from many different areas of the community, so a larger geographic area could be served."
164,5,13,['service'],uber lyft or any taxi cabs we are a rural area very large and towns near or past 30 min away from eachother. having a taxi service would be very appreciative and would also bring more jobs locally throughout the whole southern part of this state really/
165,5,13,['service'],"Uber pedicab for downtown service.  This service could be used downtown to help people who only have to go a short distance to get to their destination.  Pedicabs are fun and instead of them having to ride around looking for people to pick up, people could request them from a phone app."
166,5,13,['service'],"Uber style delivery service. When someone needs something picked up (groceries, take out order, new TV, etc) they can use the Uber style app to let a driver know where and what needs picking up and where it needs to be delivered. This could be great for restaurants that don't deliver. If it's added as part of the Uber platform it could probably be cheaper than delivery fees from the places that deliver from restaurants"
167,5,13,['service'],Uber-like service that has small personal celf-drive cars that are shared by the community. App interface to request a car and specify whether you are willing to share you car with a small number of other people
168,5,13,['service'],Using driver-less vehicles as a taxi service around town by allowing residents to reserve a ride at any time by using the town's website.
169,6,13,['city'],A high-speed rail that goes around the neighborhood into the city.
170,6,13,['city'],A station with a tube in the ground with a high speed pod that would shoot me at a quick speed across the city or across the country in a couple hours. It would be faster than an airplane and safer too.
171,6,13,['city'],"Elon Musk's Hyperloop, Hi speed trains traveling in tubes above the city."
172,6,13,['city'],"I'm imagining a car sharing service with locations throughout the city where you can go pick up a car without having to reserve one in advance. Nor would you have to interact with any people at the pickup/dropoff location. It would be somehow automated. Perhaps you would subscribe to the service an at annual or monthly rate and be given a special kind of 'key' that would give access to any of the cars currently at the pick up location. It would be first come first serve, and there would be smart technology embedded in both the cars and the keys. Your universal key would be linked to your account, and the car you used would transmit all relevant information to the system. Such as , time of pick up. number of miles drive. amount of gas used. Then the fees would be adjusted accordingly based on the type of car you used, miles driven, gas consumed etc. all of this without any human employees and all the fuss that comes with tradiional car rental. Things like insurance and billing info would all be done upfront when a patron sets up an account. This is genius, the more i think about it!"
173,6,13,['city'],In the city i live in there is no public transportation. If some rails or buses could be brought in it could help a lot of people here.
174,6,13,['city'],my city needs a subway system badly. A subway system would run in a star shaped pattern through the city and eliminate the terrible traffic in my city
175,6,13,['city'],pod like stock cars for city that run on electric. They can be in routes and be like taxis but driverless.
176,6,13,['city'],There should be a place to rent bicycles for a nominal fee for a day like they do in the big cities. You can rent a bicycle and return it to any place that also rents the same bicycles. You could also rent scooters to be able to do small errands around town.
177,6,13,['city'],"There should be large carousel in the city that circles the block, so people just get on a horse and go where they can."
178,6,13,['city'],"Ticket sharing system for people who make infrequent trips into the city, or suddenly need to do several trips in a row. A group of people could collectively share a commuter pass for the train or bus system. It would be like a Netflix of commuter passes. The ticket could be held in an existing business or maybe a library, and the ticket would be checked out like a book. People would pay each day they hold the ticket."
179,6,13,['city'],Tubes that are linked together and are wide enough to fit a person laying down. People get in a capsule and are delivered in great speeds to their destination by using compressed air or other methods. You can have tube terminals all over the city.
180,6,13,['city'],use self-driving cars to get to different parts of the city
181,6,13,['city'],Vacuum tube travel with a central hub in various outlying cities
182,7,12,['bus'],a bus that plays all 80s music all the time
183,7,12,['bus'],"A great mode of transportation in my neighborhood could be a bus or tram that runs along the local parkway (a road that basically goes across the whole town) people would be able to hop on it and ride it to their destination and be there within walking distance when getting off the bus/tram. Could be relatively cheap, clear up traffic with less people having to drive around, and is highly economical."
184,7,12,['bus'],"I think it would be great to have a jitney-type bus that you could hail like a cab directly from the street.  The jitney would be electric powered and follow a specific route.  I think this would be great because I live in a town that has many tourists, but does not have a large population.  It could shuttle tourists to different areas, but the tourists wouldn't have to worry about a specific bus schedule.  The jitney could drive on streets that are not bus-accessible (some of our streets are ""old world"" and very narrow). There is also some frustration in my town about not having a vibrant night life because of lack of public transportation.  This jitney would allow people to go downtown, especially college students, and have some drinks without worrying about driving.  One of the stops would be the college campus. The jitney would have a very low fair to encourage people not to drink and drive.  This jitney would help downtown businesses and restaurants."
185,7,12,['bus'],In the city i live in there is no public transportation. If some rails or buses could be brought in it could help a lot of people here.
