,index,Similarity_Type,Number of Clusters (input),Number of clusters(output),Affinity Type,Word/Sentence,File_Name,Clusters,Mismatch Metric,Match Metric,M
11,12,num_word_similarity,8,2,poly,word-based,n50_de_bc,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2199.0,203.0,25.0
12,13,num_word_similarity,8,8,linear,sentence-based,n50_de_bc,"[5 6 3 1 1 0 0 4 1 1 1 6 4 6 1 1 1 2 6 3 7 5 3 6 3 4 4 0 1 3 5 1 1 2 0 0 6
 0 1 4 1 5 3 4 3 1 4 3 1 2]",469.0,85.0,6.0
13,14,num_word_similarity,8,5,linear,word-based,n50_de_bc,"[1, 1, 4, 2, 7, 2, 1, 1, 2, 0, 0, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 4, 7, 7, 1, 7, 4, 7, 0, 1, 4, 0, 0, 7, 1, 2, 7, 7, 1, 2, 1, 1, 1, 7, 7, 7, 1, 7, 7, 1]",759.0,87.0,6.0
14,15,num_word_similarity,8,8,cosine,sentence-based,n50_de_bc,"[5 2 0 7 6 1 0 1 1 7 4 7 0 7 3 1 6 2 7 0 2 5 0 4 0 1 1 2 3 0 5 6 3 2 1 1 7
 1 3 0 2 5 0 1 0 1 1 0 6 2]",443.0,81.0,5.0
15,16,num_word_similarity,8,3,cosine,word-based,n50_de_bc,"[2, 2, 1, 1, 2, 2, 2, 2, 2, 0, 0, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 0, 1, 1, 0, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1407.0,157.0,7.0
16,17,num_word_similarity,10,10,nearest_neighbors,sentence-based,n50_de_bc,"[2 7 2 9 1 7 8 4 0 1 1 1 4 5 1 0 1 9 5 2 5 6 8 3 2 3 3 7 0 2 6 1 1 3 7 7 3
 8 1 3 9 6 4 0 8 9 4 8 1 8]",369.0,61.0,4.5
17,18,num_word_similarity,10,6,nearest_neighbors,word-based,n50_de_bc,"[1, 1, 2, 3, 1, 3, 1, 1, 1, 2, 0, 1, 3, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 5, 1, 3, 2, 3, 1, 2, 1, 1, 1, 2]",1257.0,119.0,3.5
18,19,num_word_similarity,10,10,precomputed,sentence-based,n50_de_bc,"[2 0 1 9 4 8 1 4 8 4 4 9 6 9 4 4 4 3 0 1 0 2 1 5 1 6 6 7 4 1 2 4 4 3 7 7 9
 7 4 6 8 2 7 6 1 8 7 1 4 3]",393.0,73.0,4.0
19,20,num_word_similarity,10,4,precomputed,word-based,n50_de_bc,"[2, 5, 2, 2, 1, 5, 5, 2, 1, 2, 0, 5, 5, 1, 2, 5, 2, 5, 5, 1, 5, 1, 1, 5, 2, 2, 1, 5, 1, 5, 1, 2, 2, 5, 2, 5, 1, 1, 5, 5, 2, 1, 1, 2, 1, 2, 5, 5, 2, 5]",831.0,93.0,15.0
20,21,num_word_similarity,10,10,rbf,sentence-based,n50_de_bc,"[0 0 0 0 8 2 6 0 0 0 8 0 1 2 0 0 4 3 0 0 3 0 0 0 0 0 0 6 0 0 0 0 0 5 1 0 7
 0 0 0 0 0 9 0 0 0 6 1 4 3]",1043.0,113.0,2.0
21,22,num_word_similarity,10,2,rbf,word-based,n50_de_bc,"[0, 2, 2, 2, 0, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2]",1623.0,171.0,25.0
22,23,num_word_similarity,10,10,sigmoid,sentence-based,n50_de_bc,"[1 2 1 1 8 5 1 7 1 5 5 5 7 4 7 1 7 5 3 1 9 1 1 5 1 1 1 0 7 1 1 6 1 1 5 1 5
 5 7 1 1 1 5 1 7 1 1 1 5 1]",815.0,95.0,1.0
23,24,num_word_similarity,10,2,sigmoid,word-based,n50_de_bc,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",1795.0,153.0,25.0
24,25,num_word_similarity,10,10,polynomial,sentence-based,n50_de_bc,"[0 8 0 0 0 5 7 9 0 0 0 0 4 9 0 0 0 6 8 0 1 0 0 5 0 0 0 3 0 0 0 0 0 2 3 0 0
 0 0 0 0 0 4 0 0 0 0 7 0 6]",1159.0,115.0,2.0
25,26,num_word_similarity,10,2,polynomial,word-based,n50_de_bc,"[0, 0, 3, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1733.0,149.0,25.0
26,27,num_word_similarity,10,10,poly,sentence-based,n50_de_bc,"[9 0 1 1 1 7 8 6 1 1 1 1 9 0 1 1 1 5 0 1 2 1 1 1 1 1 1 4 1 1 1 1 1 3 4 1 1
 1 1 1 1 1 9 1 1 1 9 8 1 5]",1115.0,109.0,2.0
27,28,num_word_similarity,10,3,poly,word-based,n50_de_bc,"[1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2035.0,191.0,2.0
28,29,num_word_similarity,10,10,linear,sentence-based,n50_de_bc,"[3 8 4 5 0 2 4 9 0 5 0 5 4 8 0 0 0 1 8 4 6 3 4 8 4 7 7 8 0 4 3 0 0 1 2 2 5
 2 0 7 0 3 4 7 4 0 9 4 0 1]",437.0,69.0,4.0
29,30,num_word_similarity,10,6,linear,word-based,n50_de_bc,"[7, 4, 3, 1, 1, 7, 7, 7, 4, 1, 0, 1, 7, 7, 1, 1, 1, 7, 7, 7, 7, 0, 4, 4, 7, 7, 7, 7, 1, 1, 0, 4, 3, 7, 1, 7, 7, 7, 1, 4, 9, 7, 7, 7, 7, 4, 7, 7, 1, 7]",797.0,119.0,5.0
30,31,num_word_similarity,10,10,cosine,sentence-based,n50_de_bc,"[1 9 7 9 2 0 0 4 8 9 5 9 7 9 3 4 2 6 9 7 4 1 7 5 7 8 8 0 3 7 1 2 3 6 0 0 9
 0 3 8 0 1 7 8 7 4 4 0 2 6]",361.0,65.0,4.5
31,32,num_word_similarity,10,7,cosine,word-based,n50_de_bc,"[7, 5, 7, 7, 0, 5, 5, 5, 2, 3, 0, 0, 5, 5, 3, 2, 3, 5, 9, 9, 5, 3, 0, 5, 5, 0, 5, 5, 5, 2, 0, 4, 3, 5, 5, 5, 5, 0, 5, 5, 3, 3, 5, 5, 5, 5, 5, 5, 7, 0]",741.0,115.0,4.0
32,33,num_word_similarity,12,12,nearest_neighbors,sentence-based,n50_de_bc,"[ 8  2  4  4  1  2  0  3  1  1  1  1  3  6  1  7  1  9  2  6  2  8  0  0  6
 10 10  2  7  4  8  1  1  9  2  5  5  0  1  5 11  8  3  5  6 11  3  6  1  9]",349.0,65.0,4.0
33,34,num_word_similarity,12,5,nearest_neighbors,word-based,n50_de_bc,"[0, 0, 11, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 9, 0, 0, 0, 9, 5, 9]",1527.0,153.0,3.0
34,35,num_word_similarity,12,12,precomputed,sentence-based,n50_de_bc,"[ 4  8  5  0  3  1  5  6  0  3  3  3 11  9  3  6  3  2  8  4  8  7  5 10  4
  6  9  1  3  3  7  3  3  2  1  1  6  8  3  9  0  7  8 11  4  0  6  5  3  2]",371.0,61.0,4.0
35,36,num_word_similarity,12,5,precomputed,word-based,n50_de_bc,"[2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 2, 7, 0, 1, 2, 2, 0, 2, 2, 0, 0, 2, 2, 11, 2, 2, 0, 7, 0, 2, 2, 2, 2, 2, 2, 11, 2, 2, 0, 2, 2, 2, 2, 2, 11, 0, 0, 0]",1095.0,109.0,3.0
36,37,num_word_similarity,12,12,rbf,sentence-based,n50_de_bc,"[ 0  5  0  0  0  1  0  0  0  0  0  0 10  2  0  0  9 11  0  0  3  0  0  0  0
  0  0  0  0  0  0  0  0  8  0  0  0  0  0  0  0  0  4  0  0  0  6  7  9  0]",1415.0,123.0,1.0
37,38,num_word_similarity,12,5,rbf,word-based,n50_de_bc,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 11, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 1, 11, 1, 1, 6, 1, 1, 1, 1, 1, 11, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 11]",1565.0,145.0,1.0
38,39,num_word_similarity,12,12,sigmoid,sentence-based,n50_de_bc,"[ 1  2  1  1 10  6  1  5  1  6  6  6  5  0  5  1  5  6  3  1  4  1  1  6  1
  1  1  9  5  1  1  7  1  1  8  1  6  6  5  1  1  1 11  1  5  1  1  1  6  1]",781.0,93.0,1.0
39,40,num_word_similarity,12,3,sigmoid,word-based,n50_de_bc,"[0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0]",1867.0,187.0,3.0
40,41,num_word_similarity,12,12,polynomial,sentence-based,n50_de_bc,"[ 2  7  3  3  3  9  5 11  3  3  3  3  8  7  3  3  3  4  7  2  1  3  3  3  2
  0  3  6  3  3  3  3  3 10  6  0  0  3  3  0  3  3  8  3  3  3  3  5  3  5]",869.0,87.0,2.0
41,42,num_word_similarity,12,3,polynomial,word-based,n50_de_bc,"[0, 0, 7, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1899.0,173.0,4.0
42,43,num_word_similarity,12,12,poly,sentence-based,n50_de_bc,"[11  5  0  0  0  6  8 10  0  0  0  0  4  5  0  0  0  7  5  0  1  0  0  5  0
  0  0  2  0  0  0  0  0  3  2  0  0  9  0  0  0  0  9  0  0  0  9  8  0  8]",1031.0,89.0,1.0
43,44,num_word_similarity,12,4,poly,word-based,n50_de_bc,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 2, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1609.0,163.0,4.0
44,45,num_word_similarity,12,12,linear,sentence-based,n50_de_bc,"[ 4  3  7  3  1  2  5 10 11  3  1  3  6  3  1  1  1  0  3  7  8  4  5  9  5
  6  6  2  1  7  4  1  1  0  2  6  3  2  1  6 11  4  5  6  5 11 10  5  1  0]",351.0,69.0,3.5
45,46,num_word_similarity,12,8,linear,word-based,n50_de_bc,"[6, 6, 1, 1, 1, 6, 2, 6, 1, 0, 0, 6, 6, 6, 6, 1, 0, 1, 6, 4, 6, 6, 6, 1, 6, 6, 6, 6, 6, 0, 5, 2, 0, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 11, 6, 6, 6, 6, 7, 6]",969.0,141.0,2.0
46,47,num_word_similarity,12,12,cosine,sentence-based,n50_de_bc,"[ 7  5  6 10  3  1  4  2  1  3  8 10 11 10  9  2  3  0  5  6  2  7  4  8  4
 11 11  5  9  6  7  3  9  0  5  5 10  5  9 11  1  7  5 11  4  1  5  4  3  0]",291.0,73.0,4.0
47,48,num_word_similarity,12,9,cosine,word-based,n50_de_bc,"[11, 11, 8, 8, 1, 8, 11, 11, 10, 6, 0, 6, 11, 11, 11, 11, 6, 6, 11, 1, 11, 5, 1, 6, 2, 10, 6, 6, 11, 6, 5, 8, 6, 11, 8, 1, 6, 11, 3, 1, 1, 11, 11, 11, 11, 11, 2, 6, 6, 6]",597.0,87.0,2.0
48,49,num_word_similarity,14,14,nearest_neighbors,sentence-based,n50_de_bc,"[ 6 10 12 12  4  5  1  8  3  4  4  4  2  1  3  3  4 11 10 13  2  6  1  7 13
  9  9  5  3 12  6  4  4  7 10  2  7  2  4  9  0  6 10  3  1  0  8  1  4 11]",307.0,61.0,3.0
49,50,num_word_similarity,14,12,nearest_neighbors,word-based,n50_de_bc,"[5, 5, 4, 9, 8, 8, 3, 11, 2, 3, 0, 9, 5, 11, 5, 5, 3, 11, 6, 2, 5, 4, 10, 7, 3, 10, 10, 6, 10, 7, 4, 5, 4, 5, 10, 5, 11, 4, 2, 9, 10, 1, 5, 11, 5, 5, 10, 5, 3, 5]",429.0,63.0,3.0
50,51,num_word_similarity,14,14,precomputed,sentence-based,n50_de_bc,"[ 2  1  0  0  0  8  5  9  0  0  0  0  7  6  0  0  0  3  6 13  6  4  5 11 13
  8  8  1  0  0  4  0  0  3  1  7 10  1  0  8  0  4  7  7  0  0  7 12  0  3]",495.0,83.0,2.5
51,52,num_word_similarity,14,5,precomputed,word-based,n50_de_bc,"[1, 1, 5, 1, 4, 1, 1, 1, 4, 2, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 5, 1, 1, 1, 1, 1, 1]",1599.0,153.0,2.0
52,53,num_word_similarity,14,14,rbf,sentence-based,n50_de_bc,"[ 0  6  0  0  0  4  3  0  0  0  0  0  5  7  0  0 10  2  0  0  5  0  0  0  0
  0  0 13  0  0  0  0  0  8  9  0 12  0  0  0  0  0  0  0  0  0  1  0 10 11]",1229.0,109.0,1.0
53,54,num_word_similarity,14,6,rbf,word-based,n50_de_bc,"[3, 3, 1, 1, 2, 3, 3, 2, 4, 3, 0, 2, 2, 2, 2, 2, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2, 7, 3, 2, 3, 3, 2, 3, 3, 2, 2, 3, 3, 3, 2, 2, 3, 0, 2]",973.0,113.0,2.0
54,55,num_word_similarity,14,14,sigmoid,sentence-based,n50_de_bc,"[ 0  4  0  0 12  9  0 11  0  6 13  0 11  7 11  0 11  9  5  0  1  0  0  9  0
  0  0 10 11  0  0  8  0  0  3  0  9  9 11  0  0  0  2  0 11  0  0  0  9  0]",785.0,95.0,1.0
55,56,num_word_similarity,14,5,sigmoid,word-based,n50_de_bc,"[2, 2, 3, 2, 3, 2, 2, 2, 1, 2, 0, 2, 2, 2, 2, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 7, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2]",1547.0,145.0,2.0
56,57,num_word_similarity,14,14,polynomial,sentence-based,n50_de_bc,"[13 10  0  0  0  9  5 11  0  0  0  0  4  6  0  0  0 12 10  0  1  0  0  0  0
  0  0  2  0  0  0  0  0  3  2  0  7  7  0  0  0  0  7  0  0  0  7  5  0  8]",1007.0,97.0,1.0
57,58,num_word_similarity,14,5,polynomial,word-based,n50_de_bc,"[0, 1, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 11, 0, 0, 1, 0, 0, 1, 1, 0, 11, 0, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 11, 0, 0, 1, 0, 11, 0, 11]",1195.0,127.0,6.0
58,59,num_word_similarity,14,14,poly,sentence-based,n50_de_bc,"[ 1 10  3  3  3 12  0  8  3  3  3  3  9  6  3  3  3  7 10  3  2  3  3  3  1
  3  3  5  3  3  3  3  3  4  5 11 13 13  3  3  3  3 13  3  1  3 13  0  3  7]",865.0,85.0,1.5
59,60,num_word_similarity,14,6,poly,word-based,n50_de_bc,"[9, 3, 3, 3, 0, 3, 3, 3, 0, 3, 0, 3, 3, 3, 5, 9, 3, 3, 3, 3, 3, 11, 3, 3, 3, 3, 3, 3, 3, 12, 9, 3, 3, 9, 3, 3, 3, 9, 3, 3, 3, 0, 3, 3, 11, 3, 3, 3, 3, 3]",1305.0,157.0,3.0
60,61,num_word_similarity,14,14,linear,sentence-based,n50_de_bc,"[10  6  1  7  7  3  1 12  4  7  7  2  8  6 12  7  7  5  6 11  9 10  1 13  1
  8  8  3 12 11 10  7  7  5  3  8  2  0  7  8  4 10  0  8  1  4  0  1  7  5]",317.0,69.0,3.0
61,62,num_word_similarity,14,7,linear,word-based,n50_de_bc,"[11, 11, 2, 4, 10, 11, 11, 11, 11, 1, 0, 11, 11, 11, 0, 6, 1, 11, 11, 10, 11, 11, 11, 11, 11, 11, 11, 11, 1, 11, 11, 1, 1, 11, 11, 11, 11, 11, 1, 11, 11, 11, 11, 11, 11, 11, 11, 11, 1, 11]",1253.0,153.0,2.0
62,63,num_word_similarity,14,14,cosine,sentence-based,n50_de_bc,"[12  5  3 10  1 13  3 13  8 11  9 11  6 11  0 13  1  4 11  7  5  2  3  9  5
 13 13  5  0  7  2  1  0  4  5  6 10 10  0 13  5  2 10  6 10  8 10  5  1  4]",295.0,63.0,3.0
63,64,num_word_similarity,14,6,cosine,word-based,n50_de_bc,"[3, 7, 2, 2, 0, 3, 7, 7, 7, 3, 0, 11, 7, 7, 1, 7, 7, 11, 7, 2, 7, 0, 3, 2, 7, 3, 7, 3, 2, 7, 0, 3, 2, 7, 7, 7, 7, 3, 7, 3, 2, 7, 7, 3, 7, 7, 7, 3, 3, 3]",781.0,95.0,5.5
64,65,num_word_similarity,16,16,nearest_neighbors,sentence-based,n50_de_bc,"[ 4  3  8  8  1 10 14 13  1  1  1  1 13 11  1  6  1 12  0  4 11  5 14  0  4
 15  9 10  6  8  5  1  1  0 10  2  0  2  1  9  7  5  3  2  3  7 13  4  1 12]",317.0,59.0,3.0
65,66,num_word_similarity,16,10,nearest_neighbors,word-based,n50_de_bc,"[9, 1, 10, 12, 5, 10, 9, 9, 1, 9, 0, 5, 1, 9, 3, 4, 3, 9, 9, 10, 9, 1, 9, 5, 7, 3, 9, 9, 1, 10, 1, 5, 1, 3, 3, 10, 3, 5, 1, 9, 12, 2, 1, 1, 1, 9, 0, 9, 3, 3]",503.0,71.0,3.5
66,67,num_word_similarity,16,16,precomputed,sentence-based,n50_de_bc,"[ 6  2 11  2 11  1 15 12 11  2 11  2 10 14 11 11 11  5 14  0  3 13 15  9  0
  7  7  3 11 11 13 11 11  5  3 10  8  2 11  7  4 13  4 10  0  2  4 15 11  5]",355.0,67.0,3.0
67,68,num_word_similarity,16,6,precomputed,word-based,n50_de_bc,"[10, 10, 10, 1, 0, 10, 10, 10, 4, 1, 0, 10, 10, 10, 10, 2, 1, 10, 10, 11, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 2, 1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10]",1425.0,165.0,2.5
68,69,num_word_similarity,16,16,rbf,sentence-based,n50_de_bc,"[ 0  1  0  0  0  5  4  0  0  0  0  0  9  7  0  0 15  3  0  0 11  0  0  0  0
  0  0  8  0  0  0  0  0  6  2  0 10  0  0  0  0  0 13  0  0  0  0 14 15 12]",1143.0,117.0,1.0
69,70,num_word_similarity,16,6,rbf,word-based,n50_de_bc,"[2, 14, 14, 14, 6, 14, 2, 14, 2, 1, 0, 0, 2, 2, 14, 14, 1, 14, 2, 14, 14, 4, 14, 14, 2, 14, 14, 14, 14, 2, 4, 14, 2, 14, 14, 2, 14, 14, 1, 14, 2, 2, 14, 14, 2, 14, 14, 2, 1, 2]",915.0,107.0,3.0
70,71,num_word_similarity,16,16,sigmoid,sentence-based,n50_de_bc,"[ 0  9  0  1 11 14  0 15  0  2  0  1 15  5 15  0 15  1  4  0  6  0  0  8  0
  0  0  3 15  0  0 13  1  0 10  0 12  1 15  0  0  0  7  0 15  0  0  0  1  0]",707.0,85.0,1.0
71,72,num_word_similarity,16,4,sigmoid,word-based,n50_de_bc,"[0, 0, 8, 4, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1899.0,169.0,2.0
72,73,num_word_similarity,16,16,polynomial,sentence-based,n50_de_bc,"[ 0  6  2  2  2 15  4 10  2  2  2  2  8 11  2  2  2  7  6  2  1  2  2  9  0
  2  2 14  2  2  2  2  2  3  5  2 12 12  2  2  2  2 12  2  0  2 12  4  2 13]",869.0,81.0,1.0
73,74,num_word_similarity,16,4,polynomial,word-based,n50_de_bc,"[5, 1, 1, 5, 1, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",1779.0,187.0,2.5
74,75,num_word_similarity,16,16,poly,sentence-based,n50_de_bc,"[ 0  5  0  0  0 10  6 13  0  0  0  0  8  5  0  0  0  7  5  0  1  0  0 12  0
  3  3  2  0  0  0  0  0  4 11  3 15  9  0  3  0  0  9  3  0  0  9  6  0 14]",779.0,79.0,1.0
75,76,num_word_similarity,16,4,poly,word-based,n50_de_bc,"[10, 10, 3, 6, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 3, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 3, 10]",1877.0,181.0,2.0
76,77,num_word_similarity,16,16,linear,sentence-based,n50_de_bc,"[ 3 12  4 14  1  0 10  8 11  1  1  1  9 12  8  8  1  2 12  5 13  3 15 12 10
  9  9  0  8  5  3  1  1  2  0  9  1  6  1  9  7  3  6  9 10  7  6 10  1  2]",313.0,65.0,3.0
77,78,num_word_similarity,16,7,linear,word-based,n50_de_bc,"[15, 15, 10, 9, 15, 15, 15, 15, 0, 1, 0, 1, 15, 15, 1, 15, 13, 15, 1, 15, 15, 1, 15, 15, 15, 15, 7, 15, 1, 1, 7, 9, 1, 15, 15, 15, 15, 15, 15, 0, 15, 15, 15, 15, 1, 15, 15, 15, 13, 15]",1009.0,129.0,2.0
78,79,num_word_similarity,16,16,cosine,sentence-based,n50_de_bc,"[10 13  0  7  1 14  0 12 11  7  1  7  5 13  3 12  1  4 13 10 13  2  0  1 10
 12 14  6  3 15  2  1  3  4  6 14  9 13  3 14  8  2  1  5 10 11  1  6  1  4]",287.0,59.0,3.0
