Brad,ID,Solution Set: Distributed Novice
teleportation,33334712,"Telepads! The Transportation of the Future! Simply step on this portal pad, and you are instantly transported to your location! The movement of molecules into energy is completely safe, and many users only experience a minor burning sensation for a minute after the teleportation process. Forget flying cars, late trains or other outdated modes of transport, and tele away with Telepads!"
rental,33334713,There should be a place to rent bicycles for a nominal fee for a day like they do in the big cities. You can rent a bicycle and return it to any place that also rents the same bicycles. You could also rent scooters to be able to do small errands around town.
novel track type,33334553,"There should be large carousel in the city that circles the block, so people just get on a horse and go where they can."
bus with app,33334614,Uber like school bus system
underground,33334628,Underground walkways at traffic intersections. This would eliminate the need for crosswalks and improve the flow of traffic.
novel track type,33334714,Vacuum tunnels like the ones that banks use. Get into a pod and set a destination.
ride sharing,33334659,we can have a carpooling service where people drive together for free. gas is paid for by every 10th person.
manual train,33334730,"We have a lot of old and unused train tracks in my town, so I like to create some kind of manually powered train type vehicle that would each fit several people and could be propelled forward either manually for free or with power for a fee."
solar,33334679,we introduce solar vehicles.
,33334583,This transportation system would be the most spectacular to the entire neighborhood. It is a neighborhood vehicle hub system. It is a hub where everyone with an android or ios or windows phone can open an app and rent out a car or a bike to use around the neighborhood with the additional benefit on these hubs being eco friendly public restrooms with vending machines for those that wish to travel locally and have the munchies.
,33334584,This would be a bike lane that would be protected from other vehicles. It would make biking more safe and efficient. Bicycles would move in one road and cars would be on a different one. Cars would have to give the right of way to bicycles.
,33334586,Three wheels auto two in back and one in front. 4 to 5 people can travel in it.
,33334587,"Ticket sharing system for people who make infrequent trips into the city, or suddenly need to do several trips in a row. A group of people could collectively share a commuter pass for the train or bus system. It would be like a Netflix of commuter passes. The ticket could be held in an existing business or maybe a library, and the ticket would be checked out like a book. People would pay each day they hold the ticket."
,33334588,To reduce gridlock and rush hour traffic governments should offer tax incentives for employers offering a staggered work day. I.e. Employees scheduled to be gin work at different times rather than the 7-10 o'clock  morning hour.
