Reconciled,ID,Solution Set: distributed Experienced
standard rail system,4444473,Alternative transportation could be taking a trolley that would be the same cost as a local bus .
flying,4444474,An air based transportation system built on smart drone technology.  The drone would need to be large enough and powerful enough o carry people and goods
service - renting,4444475,An electric scooter renting/check in system
service - sharing,4444476,"An electrical bike share program. In my town, many people want to take bikes, but don't want to pedal. If the bikes were electric they would be used a lot more often."
standard rail system,4444477,An electromagnetic solar powered monorail. Its only a means to replace a standard city beltway people would commute to parking lots and take the rail to the inner city where it would connect with the local subway and bus system for extentability.
standard rail system,4444478,"An elevated air-tram service that connects to other major transportation options. Since it's above-ground, it can bypass a lot of traffic and one-way streets that plague and slow-down current options."
human powered,4444479,"An innovative transportation system in my neighborhood would be piggy-back rides.  It would be not only helpful to young and old alike, but a great strengthening exercise.  It's a small community where carrying people down the street to the library or up the street to the hospital would be an excellent way to build inner personal relationships between neighbors."
self-driving cars,4444480,"Another idea for transportation would be automated shuttle drivers for the neighborhood. Google has an automated car so, before long, there will be automated transportation services..why not start in a neighborhood ?"
tubes,4444481,"Another way of transportation would be tube, such as in Futurama.The tube acts as a vacuum and 'carries' you to your destination in the neighborhood."
service - renting,4444482,"Apartment complexes that have segway type machines that can be rented out. You can use them to go to the nearby grocery stores, etc, and return after an hour or so."
self-driving cars,4444483,Automated car! A car that can drive automatically and protect you from accidents and bumping into things. Simply input the location you wish to go into your GPS and away you go!
enhanced car,4444484,"Automated high-density, elongated cars."
self-driving cars,4444485,"Autonomic driving cars that can drive without the user's attention. This will eliminate traffic, deaths and some jobs."
self-driving cars,4444486,Autonomous  vehicles that drive themselves on a smart transportation grid.  Need to go somewhere call for a vehicle tyo pick you up. Most local transport can be done without a personal car.
new roads,4444487,best road improve the Transportation
service - sharing,4444488,"Better GPS, on demand service like Uber but for chores, house work, etc"
standard bike,4444489,Bike-pooling! Surrey bikes (bikes with multiple seats) could be used to get people healthy and move more than one person at a time.
standard bike,4444490,"Biking Paths - in my city there are hardly any bicycle paths that can take you from east to west.  Biking paths would be ideal because they don't require energy from oil/gasoline.  Not very innovative, but I think this transportation system would benefit my community the most.  I would love to bike to and from work, but right now the only way to get to work is on major roads which do not have biking lanes, and would be unsafe to ride on."
standard rail system,4444491,bullet train running straight up and down the west coast would be super popular.
comforts,4444492,Car seats with massagers built in.
enhanced car,4444493,Car that use no gas
self-driving cars,4444494,Cars that drive on their own and when people are going the same way the cars link to eachother.
flying,4444495,Cars with airplane wings!
virtual,4444496,Cell phone teleport
teleportation,4444497,Click to teleport
regulation,4444498,Closing off the downtown to cars would be amazing. The city could pay bike riders to tow carts that would pull around people!
self-driving cars,4444499,Combine the new driverless car technology with a bus.  Create an app that people use to communicate with the bus and schedule rides.  The app could track their location and do calculations for where everyone is and wants to go then create the shortest and fastest route.  When there are no more riders the bus could park its self.
moving surface,4444500,Conveyer belt-like roads - the roads move instead of the cars while on a freeway until time to exit -- I haven't figured that out yet.
personal vehicle,4444501,"COSTLY CAR FOR RIDE,GOOD LOOKING MOTOR CYCLE,FULLY SECURED PUBLIC BUSES,FAST ELECTRICAL TRAINS,GOOD LOOKING BICYCLES"
new roads,4444502,"Create a track system for cars traveling long distances on the interstate. Cars could enter the track, and the track would control the vehicle speed and direction eliminating the need for driver participation until the need to exit."
new roads,4444503,"Dedicated lanes for motorcycles and bicycles etc, block cars from most streets, encourage renewable energy sources. No tolls for motorcycles and bicycles."
standard rail system,4444504,double decor traines
electric vehicle,4444505,"Electric bikes can be charged wirelessly using inductive charging ""stations"" on the road. This would help with the longevity of the electrical charge and reduce carbon emissions from fuel-powered cars."
electric vehicle,4444506,Electric bikes.  Bikes that require no effort and use electricity.
014noise,4444507,electricity is the great discover
flying,4444508,floating pods like in the jetsons but they're automated and pick you up and drop you off on your command.
flying,4444509,Fly for smart phone
flying,4444510,Flying Car
flying,4444511,Flying cars
flying,4444512,Flying cell phone
self-driving cars,4444513,"Free parking for self driving cars. Each family could use one car that would drive them around and then go to a designated spot nearby to wait. In it's downtime, it could even act as cab for other people so families could make more money."
027noise,4444514,future transport is important to our life.
015noise,4444515,future transportation system in my neighborhood is very important our life.
028noise,4444516,Geo tracking pet collar.  People love there dogs and cats.   I think there are people who would be willing to pay for a dog collar with a geo tracking device embedded in the collar.  If the dog gets loose and runs away the owner is able to know exactly where the dog is so s/he can be rescued.
regulation,4444517,Get rid of all cars so we can rid bikes and cause less pollution.
moving surface,4444518,Giant Ice Luge Expressway That could get people from major buildings across town in a matter of minutes without traffic.
service - renting,4444519,"Golf cart rental - similar to bike rental, but golf carts can hold families. With a small membership fee, you can rent a golf cart for an hour or a day. Return golf cart back to another station when you're done."
016noise,4444520,good
service - sharing,4444521,"Have car sharing at hot-spot sites, with a linked an app that simulates when cars are free."
self-driving cars,4444522,"have self-driving jitney to run on main corridors, when you want to leave your house, just call an uber-like app, the next one will pick you up as long as you're within, say 1/2 mile or 1 mile. Along way it will pick up other riders heading same direction, drop off and pick up within 1/2 mile or so of. Combines bus/torlley service (running fixed route every 10 mins) with uber convenience, pickup at your door. and drop off at location."
standard rail system,4444523,"Hey, how about a monorail system!  I'm not kidding.  It's not just for Disney anymore.  My city runs basically on a north-south and east-west grid, main streets running parallel about two miles apart on both axes.  Four routes east-west and four routes north-south should just about do it.  Trams or mini-busses at each monorail stop for a comprehensive public transportation system.  We are in the Sun Belt, why not use solar to power the electric monorail.  It is the twenty-first century.  This idea has been on my mind for decades.  It might not work for everywhere, but it could work here, and quite a few other places I suppose."
levitation,4444524,Hover boards
levitation,4444525,"Hoverboards, such as the one that Tony Hawk endorsed, which use tracks which are magnetized, such as a MagLev train, have tracks going throughout suburbs and cities and we can get around with almost no friction, only air drag and spend less energy getting around."
flying,4444526,Hovering cars.
flying,4444527,How about a lift service through the air.
flying,4444528,"How about a new one based on gliding, like you can rent or borrow gliders from places, or maybe small leg powered aircraft. Then you could land and pay a small fee for their usage."
tubes,4444529,Human-sized pneumatic tube transport. People would step into human-sized transport cylinders which would then be sent to their final destination through a network of pneumatic tubes that run beneath the city streets. This transport method was used extensively in the past for smaller scale items like mail and small packages. There is no reason it couldn't be scaled up to transport people as well. This concept could be compared to the proposed Hyperloop but on a smaller scale to transport idividuals over shorter distances within a city.
standard rail system,4444530,"I believe a rail car in the middle of the road would be great to take you from one part of the city to the other. This would obey normal traffic rules, but would be a no to low cost solution to transportation that would also drastically decrease DUI and traffic incidents due to alcohol."
service - sharing,4444531,"I believe that a more widespread use of carpool lanes would be a great idea. There aren't any in my area, but I think that building carpool lanes would reduce traffic congestion as well as encourage people to drive with more than one person in the car at a time."
regulation,4444532,"I believe that there should be a police cars that have the ability to take control over other vehicles. For instance, if a criminal is speeding down a highway, then there should be a way to highjack that car in order to ensure the safety for other citizens."
standard car,4444533,I can drive myself anywhere with my car for as long as I have gas.
flying,4444534,"I did not see your previous task, so this is my first idea.  It would be computer controlled drones arriving at you front door.  They would be equipped with a compartment below the four horizontal propellers.  It would have a capacity for one person with one carry on.  There would be lanes in the ""mind"" of the computer that would coordinate altitudes so that the vehicle would avoid other vehicles and elevated objects such as trees and high wires.  The vehicle would take the person to a central station where mass transit such as a train would collect riders."
service - renting,4444535,"I envision a bike rack where you can check out bikes that also have an electric motor.  You swipe your credit card (or some sort of near field smartphone transaction, etc) and pay a small rental fee.  If the bike is lost or stolen your card will be charged appropriately.  You can ride around the downtown, college campus, etc, and at the end of the day check the bike back into another (or the same) bike rack."
flying,4444536,"I feel like a sleek looking car that functions as a hovering vehicle would be great.Could work on water and land, how about that!"
personal vehicle,4444537,I have a transportational idea to use jet packs powered by biofuel.
029noise,4444538,I have an idea of turn my screenplay into a graphic comic series. My screenplay is an anti bullying story that focus on the consequences bullying can lead to.
standard rail system,4444539,"I imagine a trolley going around the block. Going slowly to encourage people to get on. It can become a great place for teenagers aswell as other people to ride around in it and such. The tracks can be made out of solar panels and whenever there is darkness, such as a child fall on too the tracks. Then the trolley will stop. Safe and convienient."
standard rail system,4444540,I imagine a world where there are high speed rails all over my neighborhood. People will be travel in public transportation in a fast and effective manner to anywhere they want.
