ID,Solution Set: Group Experienced
22222469,"unmanned taxi that runs all day, less cars(overall), national leve "
22222470,"personal, portable, efficient & green 'unicycle' "
22222472,"qigong, propulsion flight using internal energy "
22222478,rafts boats in canal 
22222479,heli-car 
22222481,"sensors, reserved land for autonomous vehicles, normal vehicle lanes// 1. sensors, 2. reopened lanes for autonomous vehicles (taxi, buses), 3. apps to track sensor & vehicles for traffic congestion & shortest route "
22222482,tunneling > use diglet or dugtrio to travel 
22222484,personal propellor system 
22222486,bus horn train horn ground level car
22222487,"grab-bus, where? DSTA"
22222491,parasites 
22222493,hover 
22222496,"solar, uv clothing "
22222497,"motor, chair "
22222498,"fan for power, underwater "
22222500,cable car 
22222501,"buses and trains with multilevel, use magnetism to 'hang' & incease surface area "
22222502,Propeller Hat 
22222505,missles 
22222510,quadcopter 
22222511,"portal gate, key in destination, announcement, destination reached "
22222512,"lights, install fan, retractable shelter in case of rain, holding area for bag/ ???, bicycle, dedicated lanes "
22222513,Waterjet to create water flow 
22222514,"portal code, number pad "
22222516,"auto w/o the need of driver, chip to find a car when it is stolen, sensor to detect obstacles, wing-can activate the wings via remote control to fly when there is long traffic jam "
22222522,Fly like iron man 
22222525,seat 
22222526,"uniwheel > light, portable, cheap "
22222527,"an unending travelator, go round and round the island forever "
22222528,"back to the future, hover board, turbo-powered "
22222530,"travelators alongside pedestrians, pavement for elderly  & handicapped, shelter "
22222531,"fly over buildings, longer distance "
22222533,"anti-collision radar, gps "
22222534,"multi vertical level transport, floating levitated, floating, foldable transparent sheet, ruduces bulkiness, single person transport "
22222538,"personal transport device: 3 wheels for stability, can be collapsed into a flat piece for easy storage, cushion seat, basket, battery and motor, 3 wheels, foot rest "
22222539,solar panel car 
22222540,"R2D2 operating, my home "
22222541,"prevent birds landing, propulsion, one-man, helium/ hot-air balloon ( to reduce road congestion), heating coils to heat/cool for ascend/descend, steering controls"
22222544,"level 1: north south, level 2: north east, level 3: eastwest, level 4: downtown, level 5: circle, level 6: bus interchange, level 7: taxi, level 8: airport, level 9: JB malaysia "
22222545,"joystick, seat, 1 wheel, 2 wheel "
22222548,elevated travelator ( conveyor belt ) 
22222551,"powered paragliders, with solar power for power and GPS, fruit blender, cigar storage "
22222552,parachute 
22222554,personal jetpack 
22222556,"UFO, protect against haze "
22222558,"DSTA, ice berg, you jump I jump "
22222559,driverless car 
22222561,with contol joystick to change direction 
22222562,platform to move in + up the tunnel 
22222563,flapper wings 
22222566,"personal cars - small electric powered combinable cars, special lane "
22222568,flying car 
22222571,solar cell 
22222575,"spring landed deflection plate to re-direct people, handholds for people to choose which exit to set out of, to jurong, to highway, valve prevents people from getting sucked into pump, vacuum pump provides suction "
22222584,"virtual workplace, move object to human "
22222586,touch screen control 
22222587,"integrated illumination for night/ dark conditions, force field for personal space/ privacy, levitation for all terrain travel, ground level, air-cooling, non-slip pad (for hot weather) "
22222589,automated taxi vehicle 
22222590,anti collision 
22222591,belt to tighten (prevent exposure)
22222593,"can park horizontally, space parking space "
22222594,solar powered skateboard 
22222598,"flying car, nitrogen "
22222600,hover board 
22222601,"flying bicycle, wings "
22222604,cooling mobile capsule 
22222605,flying carpet 
22222607,personal device wearable jetpack for long distance 
22222609,"solar panels, turbo "
22222610,"train system with no train stops, exit whenever you want "
22222611,flying carpet 
22222612,"deflatable, inflatable balloon, gps enabled, different sizes, speed control,solar energy, height control/ altitudes, travel in air/ sea/ road, no need carpark, can deflat after use "
22222613,"hotair balloon, parachute in case of failure, light"
22222615,use of biometrics eg. Thumbprint recognition and charging for public transport 
22222616,"one sear mini electrical-driven re-chargeable car, most of the time, there is only one person driving a 4 seat car from home to office. It is a waste of space and resources "
22222617,motorised shoes 
22222618,"engine so can travel super fast, wheels, "
22222619,express-way bus 
22222620,sky gliding 
22222621,flying cars 
22222623,narrow the roads by 50% 
22222624,autonomous personal capsule 
22222625,"sheltered walkway when raining, pedestrian path, hybrid battery + humand motion power (moving leg, stable leg, dynamo "
22222627,Foldable bike 
22222628,"personal pod, travelator, travelator stop "
22222629,iphone/ android dense with app to track payment when go past ERP 
22222630,compact into fashion use 
22222631,"Personal Capsule transportation, all networks underground, windows in the tunnel "
22222632,work at home 
22222634,shared taxi network 
22222635,"hovercraft, boarding ladder "
22222638,hoverboard 
22222639,"round bubble as a car, air-con, lighted bubble, full glass, inflatable glass "
22222641,"connected sheltered tunnels ( 100% UV protection), underground, 50 km/hr "
22222643,self propelled shoes run effortlessly 
22222644," keep your belongs eg. Brief case, parachute, jetpower"
22222646,"wheels, power to move at 100km/hr "
22222647,"electric car , owned/rental "
22222650,"travelator walkway, platform, control button on speed/ stop "
22222651,portable carrier that allows you to switch from one mode of transport to another 
22222655,shoes with wings 
22222657,"personalise scooter which uses the mrt track, current mrt track "
22222659,teleport 
22222660,underground magnetic fast shuttle @ extremeties of Singapore 
22222662,on demand driverless taxi 
22222663,magic wand 
22222665,"automated vehicle that you can dial up in advance to pick you up and drop you off via app, people can also share the ride of along way "
22222666,"built-in detachable GPS that allows riders to put routes and paths > roads, paths, park connection etc, GPS takes into consideration all other vehicles on the road and give you an optimum path, shrinkable/ foldable with extendable pull handles and mini wheels to pull along "
22222668,work from home 
22222669,rail system on the pavement(like roller coaster) 
22222670,electromagnetic track 
22222671,"bicycle lane, pedal engine "
22222676,multi-storey MRT 
22222678,auto wall proximity machinr 
22222679,"robotic driver, built-in gps , expandable to create more capacity "
22222680,"CTE tunnel, KPE air "
22222681,underground transport 
22222683,"car, bus/mrt/ train "
22222684,smart allocation of public transportation base on demand 
22222685,teleport 
22222686,personal transportation 
22222688,"Personal jetpacks, ultra efficient solar cell "
22222690,"personal hover planes, short distance travel "
22222691,luxury (mass) transportation 
22222692,automated personal pods 
22222694,"narrow cars, double road capacity "
22222695,segway? 
22222697,shoes + drones 
22222698,autonomous vehicles 
22222699,"heavy duty sledgeway type with higher capacity battery for longer distance, solar power "
22222700,robotised horse
22222701,"self-drive, suto electric car "
22222703,car-plane with CDCA & verticle take off 
22222704,"home, office @ DSTA, office @ CDB, sky taxis "
22222707,"landing gear, motor to stabilise & control "
22222708,instant teleport 
22222709,"electric/ solar uni-mobile, lightweight eg fiberglass? "
22222712,"public transport: seld drive bus> lesser human error, higher bus frequency "
22222713,gps - scooter with auto-route and auto-transport 
22222714,"wings, wheels, shoes, light "
22222715,"bedok, dsta "
22222716,"collision deflection/ avoidance system, 'liquid metal' material (transform into smllaer when not in use), adhesive shoes, hover above ground "
22222718,"point a, suction, point b "
22222721,lift 
22222722,teleport 
22222724,synchronised move-off 
22222726,"personal transporter, huge battery capacity,  wireless charging "
22222728,teleport to where you want 
22222729,"vehicle capsule, left/right axis, forward/backward axis "
22222730,"woodlands statellite town, bike tracks, driverless track, jurong town, central town, changi town, satellite town, boats "
22222734,transport info app 
22222738,"floating, submarine "
22222739,chair with wings 
22222742,"personal drone vehicle, mini helicopter for one person "
22222746,jetpack 
22222749,hang glider 
22222750,"personal transport device, hot air balloon, carriage, device at roof flat "
22222751,personal board 
22222753,"personal chopper, jet pack "
22222755,2D wheeler to view skyscraper view along cliff
22222756,horizontal elevator underground 
22222759,hassle free public transport from point to point 
22222760,teleport 
22222761,"driverless car, no traffic light system "
22222763,"backpack helicopter, GPS, camera for obstacle avoidance, monoblade - retractable "
22222764,self balance bike (auto balance) 
22222765,giant wheel 
22222768,"autowheels on shoes, electrically power shoes "
22222769,"can fly, can drive, can sail (duck tour similar) "
22222770,"skate technique, handle "
22222771,hyperloop that have stations/ stop at only major interchanges 
22222772,multi level train track 
22222773,motorised foldable bicycle with tent cover on top
22222774,tele-poration chamber 
22222784,car fusion technology 
22222785,underground 
22222786,mini aircraft 
22222787,travelator network (underground) with fan and air purifier 
22222789,bulky 
22222792,"solar, sheltered way, children's carriage, segway (2 wheels), sloped kerbs "
22222793,car travel in air 
22222794,"motorbikes, build more overhead highways/ roads (go vertical up) "
22222795,"motor 'fan' , seat, gliding "
22222798,zoom
22222803,"cover to shield rain, add a seat "
22222806,Levitating surfing board 
22222807,tele-prescence 
22222809,capsule for weather protection 
22222813,"electric track, wireless charging "
22222815,motorised shoes 
22222816,2 seater 3 wheel personal transporter 
22222817,"can fly like drone, can sail like sub "
22222818,flying vehicle 
22222819,personalised transport device 
22222822,super expree - escalators (solar powered) bikes or walking 
22222823,triple decker mrt 
22222824,driverless bus 
22222825,"key in destination, teleport "
22222828,"automated UAV, shared/ pool public transport "
22222829,"Carlite city: reduce reliance on car, use bicycles "
22222831,"flight, hovering in the air "
22222832,transportation cubicles 
22222833,"cars that fly, capsule pod, smaller to aeroplane route"
22222834,teleport 
22222836,jetpack 
22222841,"jump suit, jump to anywhere "
22222843,unmanned driverless vehicle/ cab/ buses 
22222844,"levitator-glider> for heading to higher ground, for going to lower levels "
22222845,"Home, workstation "
22222846,floating platform 
22222849,"small cabin rail system, selt detach at destination "
22222850,motorised shoes 
22222852,"roadside trees, canopy walk "
22222853,human-quadcopter 
22222854,snake roller 
22222856,real time network to actively divert traffic 
22222857,Molecular reconstruction 
22222858,"MRT a, electric bike rental, dedicated lane for cyclist, electric bike return, MRT B"
22222859,"a double decker mrt, sleeping deck (more $) "
22222860,"vehicle upon vehicle, double decker travelling "
22222862,flying fox line network 
22222864,"helmet, wing"
22222865,levitating show (short Distance) 
22222868,hovering machine 
22222869,"solar cells for harnessing energy, passenger sit, slots to insert wings for flying, design similar to starwars space craft, (???) "
22222872,"moving chair, cushion, foldable, 60 km/hr "
22222873,next generation personal transport system 
22222874,"Smarter bus lane, resource management "
22222875,staircase/ escalator without electricity 
22222877,teleport
22222879,frictionless 
22222880,wings to be attached to human bodies 
22222881,"convertible, spiderweb control box"
22222882,formless 
22222883,"amk/ any suburban trains, high speed pod, hyperloop, raffles place, city - no driving zone, inside the path, bicycle/ scooter, pods carrying individuals on bicycle "
22222885,"wifi enabled, transparent casing + uv protection, double layered,non-contact/ vacuum using magnetic field to ensure inner case is always constant "
22222886,"connectible individual vehicles, mergeable to one big vehicle to save space for cars to same destination "
22222891,hovering cars 
22222895,"stop, travellator "
22222896,unicycel on fixed tracks 
22222901,single-copter 
22222902,"roller skates, motorised "
22222903,levitating skateboard/ hoverboard 
22222904,carriage suspended in mid air inside concentric magnetic coil for propulsion 
22222906,"working near your home!, your train will be arriving in two minutes "
22222907,"flying backpack, zen2000 "
22222908,"underground cycling lanes, unmanned vehicles/ buses, MRT, underground water canal "
22222909,Solar panel 
22222914,vertical landing & take off 
22222915,"control, rotor wings if boots fail, battery-gps-selfdrive bluetooth "
22222917,"orchard road travelator, fastest speed, erp offline, road not in use, slow speed for easy entry, walkway, travelator "
22222918,3 stage personalized public transportation (PPT) 
22222920,personal pod in a suction tube 
22222925,"fly, glider wings "
22222929,"office is a big bus that pick workers upfront home + drop them off at the end of the day, transport desired location to human "
22222930,detachable carriage 
22222931,Personal Transportation device (Nx gen!!) 
22222934,"foldable segway with charging station, PCN national wide, PCN route, charging station, parking & parking lot "
22222938,personal autonomous heli
22222939,teleport 
22222940,"multilayers train line, mrt station, jettison fuel tank, booster engine, ground, underground, air sucks vacuum no drag"
22222941,"bedok, sentosa"
22222942,hot air balloon
22222943,"mobile network, armoured galss with screen display "
22222944,"balloon, basket "
22222945,flying car 
22222946,battery operated skateboard  
22222950,"normal traffic conditions, residential, road divider, city, road warnings that change according to traffic demand, road markings are lights flushed with the tarmac road, points: built in lights, roads illuminated marking that change with road conditions, road dividers that move, peak traffic conditions(day)"
22222951,auto-no driver 
22222954,take copter 
22222955,"solar powered (land/ sea/air transporter), solar-power panel "
22222957,personal aircraft for travelling 
22222960,"create parking space for bicycle/ kickboard storage in office, allocate bicycle/ kickboard lanes beside road "
22222962,remote controlled wheelchairs/ pram 
22222963,rocket engine 
22222965,jet shoes 
22222966,weather proof add-on 
22222969,personal jetpack - for military use + industrial use 
22222970,speed sync system 
22222972,"I didn't know a proper way to convey this in a picture, so I drew up a subway map for a small town. I'm from a small town about an hour away from Dallas, Texas. It PAINS me knowing that the only public transportation exists only for major cities. Those of us with car problems end up with no other options for transportation. I would love to have an underground system for smaller connecting cities, and also a larger train system to get between major cities."
22222973,"problem statement: insufficient parking space, solution: install foldable mechanical legs which can be activated to park above other car"
22222974,"bicycle, wing, gps to guide "
22222975,slides/ escalators 
22222977,"solid capsule, unbreakable, carbon fibre, solar panel, stored energy sufficient to run at night "
22222978,teleportation 
22222979,"moving platform (magnetic material) that runs on electricity powered by the solar powered panels, solar powered panels (magnetic) "
22222980,roller shoes 
22222981,"driverless vehicle, solar panel "
22222983,bicycle 
22222986,"map, controller "
22222990,"personal: encourage use of bicycle and electric bicycle for all house-hold, cut car parks by half in HDB estate to discourage ownership "
22222992,hot-air balloon 
22222993,"Reliable/ energy efficient, underground rails, uses magnetic induction, conveyor system "
22222994,roller blade with engine 
22222995,abundance of crows. Mind control them to carry us 
22222996,fly 
22222997,modular basement system 
22222998,"directional control power plant, wheels "
22222999,"Lift sensors/ human beings within, automatically opens, button only inside "
22223001,"flying vehicle for everyone, fly <1000ft "
22223003,"driverless, (busstop) any place "
22223004,all roads to have a top section to carry autonomous pods for individual transport of up to 4 person sitting > pods travel on fixed routes above main roads 
22223006,MRT - extend cabin when crowded 
22223007,lift teleport system - within singapore and overseas (rephrased) 
22223008,"self-powered, self-unfolding, self- balancing, self-driving, bi/tiicycles, sensors, roof because rain "
22223009,flying hoverboard 
22223010,"reconfigurable roads/ expressway: to adjust to traffic conditions, barriers rise out of the ground, reprogrammable direction arrows, rotating road lanes "
22223011,"Hover craft transportation, make use of air space,  expressway, use sides, add transportation for people "
22223012,"Solar panel, battery "
22223013,jet 
22223014,Driverless 
22223016,travelling wheel capsule 
22223018,transportation for individuals -small physical footprint/easy to park/ keep -easy to use/ no learning curve 
22223019,"passenger activate request for taxi through HP, taxi use gps to locate passenger & arrive in front of him/ her "
22223021,driverless taxi 
22223023,"mini-size portable transporter, teleport, yeah! I have safely reached home, supermarket, yeah! Shopping!"
22223028,"DIC LRT, staircase, clockwise, anti-clockwise "
22223029,human copter 
22223031,high speed rail (from changi to boonlay less than 5 min) 
22223032,"engine compartment, rear acis, rear wheels, chairs, 1 front wheel, wheel, engine, seats, wheels "
22223037,"hybrid FC/ Battery/ solar mini cars, solar grids, solar panels to charge up batteries, small city car (max speed 90km/hr), no need for big/fast car in SG "
22223038,"drone car, GPS, brake pads "
22223039,"personal transport - 2 seater car with 2 wheels, modular design to add 1 more unit to have 4 wheels and 4 seats "
22223041,teleport at the convenience of home/office 
22223045,add wings for efficient energy management < float around 
22223050,"dedicated bus lane, driverless bus, smart re-routing according to traffic conditions "
22223053,mini segway to be attached to the bottom of the shoe 
22223054,dsta>home 
22223057,"flying mass transport, can go faster, less obstacle, personal transport , two layers "
22223058,wearable flying suit integrated with rocket mechanism 
22223059,self-driving bicycle (also self propelled) + docking station @ MRT 
22223061,no postman (email) 
22223063,conveyor belt 
22223064,wind powered instead of solar powered which can be used during daytime 
22223065,"solar panel, traffic sensor "
22223066,personal helicopter 
22223069,motorbike 
22223070,"helicopter cap, light(torch), collision avoidance sensor "
22223071,teleportation portal 
22223073,SG transport grid 
22223074,"land, motorbicycle "
22223075,"fly suit, headlights modified, remote control for speed and direction etc "
22223076,travel by tubes 
22223078,jetpack
22223079,broom 
22223083,"motor, battery"
22223085,"teleportation system, bedok, bukit merah"
22223088,high-tech stilt walker 
22223091,"personal transportation, wings, gyroscopoc light to maintain position when call rolls "
22223092,battery powered motor with solar cell
22223093,"driverless, sensor-controlled that can travel in air/land/sea "
22223094,car-to-car refueling system 
22223095,"teleportation ""Beam me up Scotty!"" "
22223096,Heli - motor chair 
22223097,transportation 
22223101,"station one, station 2 "
22223103,time traveller
22223105,rocket 
22223111,PCN 
22223114,"levitation cars > create another dimension to also maximise the existing space use for roads, different layer cars keeping to speed limit "
22223115,"work/ shop from home, home schooling/ on-line features "
22223117,"enlarge drone, able to float 1 feet above ground "
22223118, driverless mini bus 
22223120,Motorised bicycle 
22223122,"a transportation device which can fly, sail and travel on the road, powered by solar energy "
22223123,"hot air balloon, automated "
22223126,hoverboard 
22223129,HDB flats with station on roof of flats 
22223131,human flight suit 
22223132,hovercraft 
22223135,vacuum tube
22223136,solar panel energy 
22223137,"transport pod/ capsule, 'packets' magnetic like coupling and de-couping "
22223138,mini hovercrafts which can travel over air & sea for individuals 
22223139,"Personal speed boats, singapore river "
22223140,"levitation transport, comes in capsule "
22223141,solar powered segway 
22223144,personal jetpack 
22223145,wireless teleport 
22223147,"flying, surfing board, safety belt "
22223149,tough terrain 'legs' stable (single/ double passenger) 
22223151,"car that flies, retractable wheels "
22223152,travelator - conveyor belt 
22223154,exo-skeleton that is powered? 
22223155,tri-blade
22223156,flying cars 
22223157,tubo option available 
22223158,"why should I travel? Get the things to me!, magnetic field "
22223159,flight 
22223160,solar panel 
22223162,"skateboard, controls, solar power"
22223163,the next generation of transport would be video and audio transportation. Digital connectivity will do away with the need for physical transportation. We can be visually there but not physically there
22223164,dynamically changing roads … there responds to traffic + changes to re-route cars/ vehicles  >> transformer road
22223165,"unmanned vehicle that is book per use, people do no own cars, book the vehicle on the internet for the timing and destination, the central computerised system wil manage the vehicle booking, arrival and verification, example: jack going from destination A to D, Peter going from destination B to C "
22223166,doraemon 
22223167,eco-friendly transport eg. Scooter 
22223168,family skate scooter 
22223171,superman suit 
22223173,"shoes, propellor engine, foglight, wheeled "
22223174,ironman suit 
22223175,"flying bus ufo thing, wheels of fire, iron man-ish "
22223178,wave powered 
22223180,"board with bullet train technology, magnetic force "
22223184,dual function as watch & car keys
22223185,"transport initiator, transport space, space, clementi, chinatown…., teleport"
22223187,"station, vacuum "
22223188,airjet boots 
22223189,"Computers, aircon, ipad, telephone, internet, car"
22223190,Double Decker Toilet Trains
22223192,"fully driverless cars replacing all human driven cars, on-demand and available at any location, any time, any weather, fully electric vehicles replacing all petrol/diesel cars "
22223194,"hovering cars, car pooling, martian-omg! Why they copy us!! "
22223195,DTTA> science park 
22223196,human drone transportation from one point to another designated location 
22223197,Electric skateboard 
22223198,magnetic field slides 
22223199,"beam me up scotty, teleport "
22223201, transform into a backpack
22223208,compressed air 
22223209,"work station (work with brain), personal toilet, connecter "
22223210,travelator
22223212,casual air transport 
22223213,auto piloted capsules running on tracks/ rails 
22223216,wearable wings 
22223219,all terrain 
22223220,hover bike 
22223221,human jetplane 
22223223,additional wheel for balance 
22223224,"electric bicycle, light weight, foldable easily, long lasting power/ battery "
22223225,teleportation 
22223227,Hover craft 
22223228,Power wheels 
22223230,the drones 
22223232,sturdy foundation 
22223233,"navigate capsule, GPS "
22223235,teleport 
22223236,"telepresence, mobile working "
22223237,"non-stop express rail, disembark onto moving platform that synchronises with main rail "
22223238,bumper car 
22223240,"fly if road is congested, mist for cooling, extra lift/thrust, on the road "
22223241,"umbrella, controller, electric wheelchair, wheel "
22223242,personal hovercraft 
22223244,"virtual transportation, 3D virtual projection , augmented table & controls, 3D scanner "
22223246,"vehicle carriage that connects and detach according to the destination they are going, minimise number of carriage ways, connecting point of different convoy of carriage "
22223247,"Driverless Car, GPS "
22223248,"elevated platform built for dedicated bicycle lanes, expressway roads "
22223249,amk - law of gravity - paya lebar 
22223251,web inspired architecture 
22223254,"moving capsule, passive power "
22223255,"root-pads, omni wheels"
22223256,"shelter, solar panels, usb chargeable, basket, motor, run-flat "
22223257,"rent/ reuse/ exchange vehicles, hdb > cycle > deposit in underground storage system > MRT > hop into vehicle > last mile drive > park in underground storage system "
22223258,all round see through 
22223260,environmentally friendly & healthy livign device 
22223262,travelator 
22223263,"jetpack that can be maneuvered, LCD watch TV shows, add dining table to have lunch while travelling, robotic arm serve food "
22223264,"roads: accidents ( help get the place fast, cleaning of vehicle, fast), vehicle drone to remove vehicle, mobile apps for singapore to call 995 or 999 with geo tagging information, accident proof vehicles-stop using all round sensors "
22223267,teleportation 
22223269,"iron man mark 2, auto drive "
22223270,"retractable sphere, doubles as office chair, gyrosphere will ensure passenger is upright at all times, can go onto conveyor belts which replaces roads and MRT railtracks, can also go off track, autonomous driving system, manual override possible, adhesive conveyor track, can go horrizontaly or vertically, adhesive conveyor belt "
22223272,punctuality of public transport system 
22223273,"portal, use wormholes, teleportation, teleportation system "
22223275,"park + charging, foldable, standing buggy with battery "
22223276,"Car-bed, air-conditioned, noise-cancelling environment "
22223277,very nice survey for this world.
22223278,"personal flying, solar powered, battery pack"
22223278,"solar cells (harness light from sin for fuel), rubber padding that acts as wheels and doubles up as shock absorber, concept similar to sphero "
22223279,"direction control (left, right) "
22223279,long travel in the first place 
22223280, zipline system 
22223280,city designed in such a way nobodt needs to drive or take public transport to work! Eg - Run! Cycle! Walk! 
22223281," Zip lines from buildings to buildings, with stowable ziplining device, stores heat energy from the ziplining, bonus parachute for safety "
22223281, zipline 
22223282, with glider & gps technology 
22223282," woodlands teleport station, cbd teleport station "
22223283," wings-on-shoes, charging station "
22223283, with aircon
22223284, wings to fly 
22223284," wings to fly, angel "
22223285, wings 
22223286," wheel, protective comfortable protective gear, dedicated pathways, gps "
22223286," wind power, activate skates when walking on flat ground "
22223287," weatherproof glass case, air vent, motorised roller blade "
22223287," wheel powered shoes, remote control by blue tooth technology from hp/ google glass, watches/ voice recognition "
22223288, wearable 
22223289," water, floating water way, water, riding on national canals "
22223289, waterway transport through canels 
22223291," watch, teleportation, press to teleport "
22223291, water pipes 
22223294, virtual-tele-conference 
22223294, video transport 
22223295," vertical take-off & landing, auto piloted capsules: no skills required, punch in location (don’t need to know the map to get there), flexible legs to land on any terrain "
22223296, vacuum tube 
22223297, vacuum transportation 
22223298, using wind as a means of transport 
22223299, use the box 
22223299," use 'kar' (legs - in other words, walking) "
22223300, unmanned vehicle no need to get license 
