,Synthesized,ID,Solution Set: Group Experienced,,tokens,lemmas,pos_tagged
10,000noise,4444520,good,,[good],['good'],"[('good', 'ADJ')]"
11,service - sharing,4444488,"Better GPS, on demand service like Uber but for chores, house work, etc",,"[Better, GPS, on, demand, service, like, Uber, but, for, chores, house, work, etc]","['better', 'gp', 'on', 'demand', 'service', 'like', 'uber', 'but', 'for', 'chore', 'house', 'work', 'etc']","[('better', 'ADV'), ('gp', 'NOUN'), ('demand', 'NOUN'), ('service', 'NOUN'), ('like', 'ADP'), ('uber', 'PROPN'), ('chore', 'NOUN'), ('house', 'NOUN'), ('work', 'NOUN'), ('etc', 'X')]"
12,standard rail system,4444530,"I believe a rail car in the middle of the road would be great to take you from one part of the city to the other. This would obey normal traffic rules, but would be a no to low cost solution to transportation that would also drastically decrease DUI and traffic incidents due to alcohol.",,"[I, believe, a, rail, car, in, the, middle, of, the, road, would, be, great, to, take, you, from, one, part, of, the, city, to, the, other, This, would, obey, normal, traffic, rules, but, would, be, a, no, to, low, cost, solution, to, transportation, that, would, also, drastically, decrease, DUI, and, traffic, incidents, due, to, alcohol]","['i', 'believe', 'a', 'rail', 'car', 'in', 'the', 'middle', 'of', 'the', 'road', 'would', 'be', 'great', 'to', 'take', 'you', 'from', 'one', 'part', 'of', 'the', 'city', 'to', 'the', 'other', 'this', 'would', 'obey', 'normal', 'traffic', 'rule', 'but', 'would', 'be', 'a', 'no', 'to', 'low', 'cost', 'solution', 'to', 'transportation', 'that', 'would', 'also', 'drastically', 'decrease', 'dui', 'and', 'traffic', 'incident', 'due', 'to', 'alcohol']","[('i', 'PRON'), ('believe', 'VERB'), ('rail', 'NOUN'), ('car', 'NOUN'), ('middle', 'NOUN'), ('road', 'NOUN'), ('would', 'VERB'), ('great', 'ADJ'), ('take', 'VERB'), ('one', 'NUM'), ('part', 'NOUN'), ('city', 'NOUN'), ('this', 'DET'), ('would', 'VERB'), ('obey', 'VERB'), ('normal', 'ADJ'), ('traffic', 'NOUN'), ('rule', 'NOUN'), ('would', 'VERB'), ('low', 'ADJ'), ('cost', 'NOUN'), ('solution', 'NOUN'), ('transportation', 'NOUN'), ('would', 'VERB'), ('also', 'ADV'), ('drastically', 'ADV'), ('decrease', 'VERB'), ('dui', 'PROPN'), ('traffic', 'NOUN'), ('incident', 'NOUN'), ('due', 'ADJ'), ('alcohol', 'NOUN')]"
13,electric vehicle,4444461,"A smart car golf cart hybrid, weight relieved and runs on veg oil or electricity. For short trips ie: school,mail box, corner store. Licenced for the road with a top speed of 45mph",,"[A, smart, car, golf, cart, hybrid, weight, relieved, and, runs, on, veg, oil, or, electricity, For, short, trips, ie, schoolmail, box, corner, store, Licenced, for, the, road, with, a, top, speed, of, 45mph]","['a', 'smart', 'car', 'golf', 'cart', 'hybrid', 'weight', 'relieved', 'and', 'run', 'on', 'veg', 'oil', 'or', 'electricity', 'for', 'short', 'trip', 'ie', 'schoolmail', 'box', 'corner', 'store', 'licenced', 'for', 'the', 'road', 'with', 'a', 'top', 'speed', 'of', '45mph']","[('a', 'DET'), ('smart', 'ADJ'), ('car', 'NOUN'), ('golf', 'NOUN'), ('cart', 'NOUN'), ('hybrid', 'ADJ'), ('weight', 'NOUN'), ('relieved', 'ADJ'), ('run', 'VERB'), ('veg', 'ADJ'), ('oil', 'NOUN'), ('electricity', 'NOUN'), ('for', 'ADP'), ('short', 'ADJ'), ('trip', 'NOUN'), ('ie', 'ADJ'), ('schoolmail', 'NOUN'), ('box', 'NOUN'), ('corner', 'NOUN'), ('store', 'NOUN'), ('licenced', 'PROPN'), ('road', 'NOUN'), ('top', 'ADJ'), ('speed', 'NOUN'), ('45mph', 'NUM')]"
14,flying,4444495,Cars with airplane wings!,,"[Cars, with, airplane, wings]","['car', 'with', 'airplane', 'wing']","[('car', 'NOUN'), ('airplane', 'NOUN'), ('wing', 'NOUN')]"
15,electric vehicle,4444475,An electric scooter renting/check in system,,"[An, electric, scooter, rentingcheck, in, system]","['an', 'electric', 'scooter', 'rentingcheck', 'in', 'system']","[('an', 'DET'), ('electric', 'ADJ'), ('scooter', 'NOUN'), ('rentingcheck', 'NOUN'), ('system', 'NOUN')]"
16,flying,4444512,Flying cell phone,,"[Flying, cell, phone]","['fly', 'cell', 'phone']","[('fly', 'VERB'), ('cell', 'NOUN'), ('phone', 'NOUN')]"
17,service - renting,4444519,"Golf cart rental - similar to bike rental, but golf carts can hold families. With a small membership fee, you can rent a golf cart for an hour or a day. Return golf cart back to another station when you're done.",,"[Golf, cart, rental,  , similar, to, bike, rental, but, golf, carts, can, hold, families, With, a, small, membership, fee, you, can, rent, a, golf, cart, for, an, hour, or, a, day, Return, golf, cart, back, to, another, station, when, you, re, done]","['golf', 'cart', 'rental', '', 'similar', 'to', 'bike', 'rental', 'but', 'golf', 'cart', 'can', 'hold', 'family', 'with', 'a', 'small', 'membership', 'fee', 'you', 'can', 'rend', 'a', 'golf', 'cart', 'for', 'an', 'hour', 'or', 'a', 'day', 'return', 'golf', 'cart', 'back', 'to', 'another', 'station', 'when', 'you', 're', 'do']","[('golf', 'ADJ'), ('cart', 'NOUN'), ('rental', 'NOUN'), (' ', 'SPACE'), ('similar', 'ADJ'), ('bike', 'VERB'), ('rental', 'NOUN'), ('golf', 'NOUN'), ('cart', 'NOUN'), ('hold', 'VERB'), ('family', 'NOUN'), ('with', 'ADP'), ('small', 'ADJ'), ('membership', 'NOUN'), ('fee', 'NOUN'), ('rend', 'VERB'), ('golf', 'NOUN'), ('cart', 'NOUN'), ('hour', 'NOUN'), ('day', 'NOUN'), ('return', 'VERB'), ('golf', 'NOUN'), ('cart', 'NOUN'), ('back', 'ADV'), ('another', 'DET'), ('station', 'NOUN'), ('do', 'VERB')]"
18,regulation,4444462,A smart road grid that would integrate with electronic on each vehicle and be able to route traffic flow for the best efficiantly give traffic patterns at a given moment,,"[A, smart, road, grid, that, would, integrate, with, electronic, on, each, vehicle, and, be, able, to, route, traffic, flow, for, the, best, efficiantly, give, traffic, patterns, at, a, given, moment]","['a', 'smart', 'road', 'grid', 'that', 'would', 'integrate', 'with', 'electronic', 'on', 'each', 'vehicle', 'and', 'be', 'able', 'to', 'route', 'traffic', 'flow', 'for', 'the', 'best', 'efficiantly', 'give', 'traffic', 'pattern', 'at', 'a', 'give', 'moment']","[('a', 'DET'), ('smart', 'ADJ'), ('road', 'NOUN'), ('grid', 'NOUN'), ('would', 'VERB'), ('integrate', 'VERB'), ('electronic', 'ADJ'), ('vehicle', 'NOUN'), ('able', 'ADJ'), ('route', 'VERB'), ('traffic', 'NOUN'), ('flow', 'NOUN'), ('best', 'ADJ'), ('efficiantly', 'ADV'), ('give', 'VERB'), ('traffic', 'NOUN'), ('pattern', 'NOUN'), ('give', 'VERB'), ('moment', 'NOUN')]"
19,000noise,4444444,A chalkboard based on the same technology as a Magna-Doodle. No more buying chalk or markers.,,"[A, chalkboard, based, on, the, same, technology, as, a, MagnaDoodle, No, more, buying, chalk, or, markers]","['a', 'chalkboard', 'base', 'on', 'the', 'same', 'technology', 'as', 'a', 'magnadoodle', 'no', 'more', 'buying', 'chalk', 'or', 'marker']","[('a', 'DET'), ('chalkboard', 'NOUN'), ('base', 'VERB'), ('technology', 'NOUN'), ('magnadoodle', 'PROPN'), ('no', 'NOUN'), ('buying', 'NOUN'), ('chalk', 'NOUN'), ('marker', 'NOUN')]"
20,electric vehicle,4444458,"A series of small, 2-seater autonomous electric vehicles designed to transport people, on call, to the regular bus routes that already run.  Think of them as the vehicular solution to the 'last mile problem'. This would allow people to completely dispose of their cars, while allowing people with little mobility to utilize the bus system.  Because the autonomous system is limited to the neighborhood -- i.e. roads where the speed limit is, at a maximum, 25 mph -- the vehicles can be pretty lightweight, since they won't have to deal with the problem of high-speed crashes.  Being autonomous, the vehicles can be used by *anyone* of any age. Because they are electrically powered, they place no additional hydrocarbons in the atmosphere.  Because they are in the neighborhoods, they place the bus system within everyone's reach.  Because everyone can use them, day or night, the number of cars on the road can be reduced substantially, thus reducing the hydrocarbon emission problem considerably.  Reducing the number of cars on the roadways make *every* neighborhood 'walkable': the dream of urban planners everywhere. The vehicles could be assembled and maintained locally, therefore  providing local employment. Funding could come out of already-existing local transportation millages: reducing local pollution rates would increase local property values. A small investment in this innovative solution could result in a large increase of the quality of life for everyone!",,"[A, series, of, small, 2seater, autonomous, electric, vehicles, designed, to, transport, people, on, call, to, the, regular, bus, routes, that, already, run,  , Think, of, them, as, the, vehicular, solution, to, the, last, mile, problem, This, would, allow, people, to, completely, dispose, of, their, cars, while, allowing, people, with, little, mobility, to, utilize, the, bus, system,  , Because, the, autonomous, system, is, limited, to, the, neighborhood,  , ie, roads, where, the, speed, limit, is, at, a, maximum, 25, mph,  , the, vehicles, can, be, pretty, lightweight, since, they, wo, nt, have, to, deal, with, the, problem, of, highspeed, crashes,  , Being, autonomous, the, vehicles, can, be, used, by, anyone, of, any, age, Because, they, are, electrically, powered, they, place, no, additional, hydrocarbons, in, the, atmosphere,  , Because, they, are, in, the, neighborhoods, they, place, the, bus, system, within, everyones, reach,  , Because, everyone, can, use, them, day, or, night, the, number, of, cars, on, the, road, can, be, reduced, substantially, thus, reducing, the, hydrocarbon, emission, problem, considerably,  , Reducing, the, number, of, cars, on, the, roadways, make, every, neighborhood, walkable, the, dream, of, urban, planners, everywhere, The, vehicles, could, be, assembled, and, maintained, locally, therefore,  , providing, local, employment, Funding, could, come, out, of, alreadyexisting, local, transportation, millages, reducing, local, pollution, rates, would, increase, local, property, values, A, small, investment, in, this, innovative, solution, could, result, in, a, large, increase, of, the, quality, of, life, for, everyone]","['a', 'series', 'of', 'small', '2seater', 'autonomous', 'electric', 'vehicle', 'design', 'to', 'transport', 'people', 'on', 'call', 'to', 'the', 'regular', 'bus', 'route', 'that', 'already', 'run', '', 'think', 'of', 'them', 'as', 'the', 'vehicular', 'solution', 'to', 'the', 'last', 'mile', 'problem', 'this', 'would', 'allow', 'people', 'to', 'completely', 'dispose', 'of', 'their', 'car', 'while', 'allow', 'people', 'with', 'little', 'mobility', 'to', 'utilize', 'the', 'bus', 'system', '', 'because', 'the', 'autonomous', 'system', 'be', 'limit', 'to', 'the', 'neighborhood', '', 'ie', 'road', 'where', 'the', 'speed', 'limit', 'be', 'at', 'a', 'maximum', '25', 'mph', '', 'the', 'vehicle', 'can', 'be', 'pretty', 'lightweight', 'since', 'they', 'wo', 'not', 'have', 'to', 'deal', 'with', 'the', 'problem', 'of', 'highspeed', 'crash', '', 'be', 'autonomous', 'the', 'vehicle', 'can', 'be', 'use', 'by', 'anyone', 'of', 'any', 'age', 'because', 'they', 'be', 'electrically', 'power', 'they', 'place', 'no', 'additional', 'hydrocarbon', 'in', 'the', 'atmosphere', '', 'because', 'they', 'be', 'in', 'the', 'neighborhood', 'they', 'place', 'the', 'bus', 'system', 'within', 'everyones', 'reach', '', 'because', 'everyone', 'can', 'use', 'them', 'day', 'or', 'night', 'the', 'number', 'of', 'car', 'on', 'the', 'road', 'can', 'be', 'reduce', 'substantially', 'thus', 'reduce', 'the', 'hydrocarbon', 'emission', 'problem', 'considerably', '', 'reduce', 'the', 'number', 'of', 'car', 'on', 'the', 'roadway', 'make', 'every', 'neighborhood', 'walkable', 'the', 'dream', 'of', 'urban', 'planner', 'everywhere', 'the', 'vehicle', 'could', 'be', 'assemble', 'and', 'maintain', 'locally', 'therefore', '', 'provide', 'local', 'employment', 'funding', 'could', 'come', 'out', 'of', 'alreadyexisting', 'local', 'transportation', 'millages', 'reduce', 'local', 'pollution', 'rate', 'would', 'increase', 'local', 'property', 'value', 'a', 'small', 'investment', 'in', 'this', 'innovative', 'solution', 'could', 'result', 'in', 'a', 'large', 'increase', 'of', 'the', 'quality', 'of', 'life', 'for', 'everyone']","[('a', 'DET'), ('series', 'NOUN'), ('small', 'ADJ'), ('2seater', 'NUM'), ('autonomous', 'ADJ'), ('electric', 'ADJ'), ('vehicle', 'NOUN'), ('design', 'VERB'), ('transport', 'VERB'), ('people', 'NOUN'), ('call', 'NOUN'), ('regular', 'ADJ'), ('bus', 'NOUN'), ('route', 'NOUN'), ('already', 'ADV'), ('run', 'VERB'), (' ', 'SPACE'), ('think', 'NOUN'), ('vehicular', 'ADJ'), ('solution', 'NOUN'), ('last', 'ADJ'), ('mile', 'NOUN'), ('problem', 'NOUN'), ('this', 'DET'), ('would', 'VERB'), ('allow', 'VERB'), ('people', 'NOUN'), ('completely', 'ADV'), ('dispose', 'VERB'), ('car', 'NOUN'), ('allow', 'VERB'), ('people', 'NOUN'), ('little', 'ADJ'), ('mobility', 'NOUN'), ('utilize', 'VERB'), ('bus', 'NOUN'), ('system', 'NOUN'), (' ', 'SPACE'), ('because', 'ADP'), ('autonomous', 'ADJ'), ('system', 'NOUN'), ('limit', 'VERB'), ('neighborhood', 'NOUN'), (' ', 'SPACE'), ('ie', 'X'), ('road', 'NOUN'), ('speed', 'NOUN'), ('limit', 'NOUN'), ('maximum', 'ADJ'), ('25', 'NUM'), ('mph', 'NOUN'), (' ', 'SPACE'), ('vehicle', 'NOUN'), ('pretty', 'ADV'), ('lightweight', 'ADJ'), ('since', 'ADP'), ('wo', 'VERB'), ('not', 'ADV'), ('deal', 'VERB'), ('problem', 'NOUN'), ('highspeed', 'NOUN'), ('crash', 'NOUN'), (' ', 'SPACE'), ('be', 'VERB'), ('autonomous', 'ADJ'), ('vehicle', 'NOUN'), ('use', 'VERB'), ('anyone', 'NOUN'), ('age', 'NOUN'), ('because', 'ADP'), ('electrically', 'ADV'), ('power', 'VERB'), ('place', 'VERB'), ('additional', 'ADJ'), ('hydrocarbon', 'NOUN'), ('atmosphere', 'NOUN'), (' ', 'SPACE'), ('because', 'ADP'), ('neighborhood', 'NOUN'), ('place', 'VERB'), ('bus', 'NOUN'), ('system', 'NOUN'), ('within', 'ADP'), ('everyones', 'NOUN'), ('reach', 'VERB'), (' ', 'SPACE'), ('because', 'ADP'), ('everyone', 'NOUN'), ('use', 'VERB'), ('day', 'NOUN'), ('night', 'NOUN'), ('number', 'NOUN'), ('car', 'NOUN'), ('road', 'NOUN'), ('reduce', 'VERB'), ('substantially', 'ADV'), ('thus', 'ADV'), ('reduce', 'VERB'), ('hydrocarbon', 'NOUN'), ('emission', 'NOUN'), ('problem', 'NOUN'), ('considerably', 'ADV'), (' ', 'SPACE'), ('reduce', 'VERB'), ('number', 'NOUN'), ('car', 'NOUN'), ('roadway', 'NOUN'), ('make', 'VERB'), ('every', 'DET'), ('neighborhood', 'NOUN'), ('walkable', 'VERB'), ('dream', 'NOUN'), ('urban', 'ADJ'), ('planner', 'NOUN'), ('everywhere', 'ADV'), ('the', 'DET'), ('vehicle', 'NOUN'), ('could', 'VERB'), ('assemble', 'VERB'), ('maintain', 'VERB'), ('locally', 'ADV'), ('therefore', 'ADV'), (' ', 'SPACE'), ('provide', 'VERB'), ('local', 'ADJ'), ('employment', 'NOUN'), ('funding', 'NOUN'), ('could', 'VERB'), ('come', 'VERB'), ('alreadyexisting', 'VERB'), ('local', 'ADJ'), ('transportation', 'NOUN'), ('millages', 'NOUN'), ('reduce', 'VERB'), ('local', 'ADJ'), ('pollution', 'NOUN'), ('rate', 'NOUN'), ('would', 'VERB'), ('increase', 'VERB'), ('local', 'ADJ'), ('property', 'NOUN'), ('value', 'NOUN'), ('a', 'DET'), ('small', 'ADJ'), ('investment', 'NOUN'), ('innovative', 'ADJ'), ('solution', 'NOUN'), ('could', 'VERB'), ('result', 'VERB'), ('large', 'ADJ'), ('increase', 'NOUN'), ('quality', 'NOUN'), ('life', 'NOUN'), ('everyone', 'NOUN')]"
21,000noise,4444472,all the vehicles have very important our life.,,"[all, the, vehicles, have, very, important, our, life]","['all', 'the', 'vehicle', 'have', 'very', 'important', 'our', 'life']","[('vehicle', 'NOUN'), ('important', 'ADJ'), ('life', 'NOUN')]"
22,standard rail system,4444491,bullet train running straight up and down the west coast would be super popular.,,"[bullet, train, running, straight, up, and, down, the, west, coast, would, be, super, popular]","['bullet', 'train', 'run', 'straight', 'up', 'and', 'down', 'the', 'west', 'coast', 'would', 'be', 'super', 'popular']","[('bullet', 'NOUN'), ('train', 'NOUN'), ('run', 'VERB'), ('straight', 'ADV'), ('west', 'ADJ'), ('coast', 'NOUN'), ('would', 'VERB'), ('super', 'ADV'), ('popular', 'ADJ')]"
23,flying,4444474,An air based transportation system built on smart drone technology.  The drone would need to be large enough and powerful enough o carry people and goods,,"[An, air, based, transportation, system, built, on, smart, drone, technology,  , The, drone, would, need, to, be, large, enough, and, powerful, enough, o, carry, people, and, goods]","['an', 'air', 'base', 'transportation', 'system', 'build', 'on', 'smart', 'drone', 'technology', '', 'the', 'drone', 'would', 'need', 'to', 'be', 'large', 'enough', 'and', 'powerful', 'enough', 'o', 'carry', 'people', 'and', 'good']","[('an', 'DET'), ('air', 'NOUN'), ('base', 'VERB'), ('transportation', 'NOUN'), ('system', 'NOUN'), ('build', 'VERB'), ('smart', 'ADJ'), ('drone', 'NOUN'), ('technology', 'NOUN'), (' ', 'SPACE'), ('the', 'DET'), ('drone', 'NOUN'), ('would', 'VERB'), ('need', 'VERB'), ('large', 'ADJ'), ('enough', 'ADV'), ('powerful', 'ADJ'), ('enough', 'ADV'), ('carry', 'VERB'), ('people', 'NOUN'), ('good', 'NOUN')]"
24,standard rail system,4444473,Alternative transportation could be taking a trolley that would be the same cost as a local bus .,,"[Alternative, transportation, could, be, taking, a, trolley, that, would, be, the, same, cost, as, a, local, bus]","['alternative', 'transportation', 'could', 'be', 'take', 'a', 'trolley', 'that', 'would', 'be', 'the', 'same', 'cost', 'as', 'a', 'local', 'bus']","[('alternative', 'ADJ'), ('transportation', 'NOUN'), ('could', 'VERB'), ('take', 'VERB'), ('trolley', 'NOUN'), ('would', 'VERB'), ('cost', 'NOUN'), ('local', 'ADJ'), ('bus', 'NOUN')]"
25,standard rail system,4444447,A grid system in which people load and unload off of a small transit rail.,,"[A, grid, system, in, which, people, load, and, unload, off, of, a, small, transit, rail]","['a', 'grid', 'system', 'in', 'which', 'people', 'load', 'and', 'unload', 'off', 'of', 'a', 'small', 'transit', 'rail']","[('a', 'DET'), ('grid', 'NOUN'), ('system', 'NOUN'), ('people', 'NOUN'), ('load', 'VERB'), ('unload', 'VERB'), ('small', 'ADJ'), ('transit', 'NOUN'), ('rail', 'NOUN')]"
26,service - sharing,4444453,"A people mover like in the airport, but in place of regular city sidewalks instead.",,"[A, people, mover, like, in, the, airport, but, in, place, of, regular, city, sidewalks, instead]","['a', 'people', 'mover', 'like', 'in', 'the', 'airport', 'but', 'in', 'place', 'of', 'regular', 'city', 'sidewalk', 'instead']","[('a', 'DET'), ('people', 'NOUN'), ('mover', 'NOUN'), ('like', 'ADP'), ('airport', 'NOUN'), ('place', 'NOUN'), ('regular', 'ADJ'), ('city', 'NOUN'), ('sidewalk', 'NOUN'), ('instead', 'ADV')]"
