Synth,Unique ID,Text: Verbatim
uber - bus,33334609,Uber bus.
sharing app,33334610,Uber carpooling: People who are going to a similar destination can choose to carpool.
sharing app,33334611,"Uber Drone. They can come to you at any location, much like a helicopter, but can also deliver you where you need to go much quicker."
sharing app,33334612,Uber for helicopters.
sharing app,33334613,"Uber is not currently available in my area, because it is not seen as a large enough ""metro"" area. I believe that if several of the small communities pooled together, there would be enough available and willing drivers to start a less urban and more suburban/rural version of a paid ridesharing service. Since the communities would be pooled, there would likely be drivers from many different areas of the community, so a larger geographic area could be served."
uber - bus,33334614,Uber like school bus system
sharing app,33334615,Uber limo. Essentially uber but for big groups of people that want to look like ballers.
sharing app,33334616,uber lyft or any taxi cabs we are a rural area very large and towns near or past 30 min away from eachother. having a taxi service would be very appreciative and would also bring more jobs locally throughout the whole southern part of this state really/
sharing app,33334617,"Uber pedicab for downtown service.  This service could be used downtown to help people who only have to go a short distance to get to their destination.  Pedicabs are fun and instead of them having to ride around looking for people to pick up, people could request them from a phone app."
sharing app,33334618,"Uber style delivery service. When someone needs something picked up (groceries, take out order, new TV, etc) they can use the Uber style app to let a driver know where and what needs picking up and where it needs to be delivered. This could be great for restaurants that don't deliver. If it's added as part of the Uber platform it could probably be cheaper than delivery fees from the places that deliver from restaurants"
sharing app,33334619,Uber-like service that has small personal celf-drive cars that are shared by the community. App interface to request a car and specify whether you are willing to share you car with a small number of other people
uber - bus,33334620,Uberbus. Uber hiring for large amounts of people to be transported.
human powered,33334621,"Ultimate monkey bars.  People are too fat in my area, forcing them to travel via monkey bars across the neighborhood should help not only with emission decrease, but weight decrease as well!  There will just be an overhead system running the lengths of the sidewalks at 7 foot high so no one gets hurt if they fall."
standard rail system,33334624,underground subway that extends to all major neighborhoods. It would be fast and convenient to use.
road in new dimension,33334626,Underground tunnels to get from place to place.
enhance walking,33334627,Underground walking tunnels (some colleges in cold climates have this) you can bike ride in them too.
enhance walking,33334628,Underground walkways at traffic intersections. This would eliminate the need for crosswalks and improve the flow of traffic.
standard bus,33334629,"Unfortunately, I live in a very small/rural town, so future transportation system would likely be simple public bus transit."
sky train,33334630,"Use a sky rail train to transport people.  Similar to a subway, but rather than below ground, it would be above ground."
sky train,33334631,Use a sky train
bike lane,33334632,Use bicycles as the exclusive form of transportation. Get rid of all cars.
sustainable,33334633,"Use CNG Gas in Autos, Taxi, Buses and Other Public Transport System.

Encouarge People to use Public Transport System to avoid Traffic Congestion and Air Pollution.

Give Tax Subsidies for Less Pollution Technologies."
sky train,33334634,Use of a sky tram.  It runs over the roads so that it doesn't increase traffic.
sustainable,33334635,Use of earthbags for construction of houses should be a standard practice with standerdised engineering built in the program.
self-driving cars,33334636,use self-driving cars to get to different parts of the city
personal vehicle,33334637,use the Motorcycle do not any trafic
self-driving cars,33334638,"Using autonomous cars/vehicles as taxis that you can rent and have escort you anywhere you would like to go in your area. Cars will be equipped with GPS so customers can log where their destinations, etc."
sustainable,33334639,using Biogas as fuel are also good innovative thing which makes goood transportation system .
boat,33334640,Using boats to travel in Miami to beat the rush hour traffic. It's quite simple to travel anywhere in Miami by using the canals and various waterways. Boats or ferries should be used not just for sight seeing but for public transportation.
self-driving cars,33334641,Using driver-less vehicles as a taxi service around town by allowing residents to reserve a ride at any time by using the town's website.
electric vehicle,33334642,"Using electrics cars as the main source of transportation. By using renewable energy as a way to recharge the cars, we would dramatically change the way we use energy for the better."
horses,33334643,Using horses on the streets.
041noise,33334644,Using train and bike will be good transportation mode which reduces cost of living and be good as they wont harm atmosphere.
standard bus,33334645,UTILIZE SCHOOL BUSES DURING DOWN TIME TO GIVE CHEAP RIDES
064noise,33334646,vaccum system of tubes like at a bank.  High speed escalators.  Conveyor system for cars on the interstate.
tubes,33334647,Vacuum tube travel with a central hub in various outlying cities
service - subscription,33334659,we can have a carpooling service where people drive together for free. gas is paid for by every 10th person.
solar vehicle,33334679,we introduce solar vehicles.
standard bus,33334697,a bus that plays all 80s music all the time
standard bus,33334698,"A great mode of transportation in my neighborhood could be a bus or tram that runs along the local parkway (a road that basically goes across the whole town) people would be able to hop on it and ride it to their destination and be there within walking distance when getting off the bus/tram. Could be relatively cheap, clear up traffic with less people having to drive around, and is highly economical."
flying drone,33334699,"A human carrying drone. This would require it to be build and withstand certain weight thresholds, such as up to 200 pounds. You would call a drone in and let it know where you want to go. It would pick you up and fly you there at a decent rate of speed and without having to sit in traffic."
sharing app,33334700,"A way to connect your car with a mobile phone app - you would broadcast your intended route (such as commuting home from work) and share this route with people in your local area. For a small fee (under $5) - someone could ask to ""Ride Along"" with you along your route - but with no deviations - they would be allowed to get out along the way, but not change your intended path of travel."
service - subscription,33334701,"Car sharing. Everyone can join a club which has some monthly fee, let's say $100. If they pay this, then they find someone who lets them ride everyday with them to work and back home. They driver gets most of the money (the rest goes to overhead) and takes them to and from work everyday. So I guess it's like a taxi service with a monthly fee, hopefully that using people that work with you at your job."
moving surface,33334702,"Change the road into a high speed moving floor, like what they have at airport terminals but faster and with chairs to sit in.  You can board a chair in a parking lot/driveway and operate a machine to choose destination.  The chair will then merge into the moving road and go for the destination."
service - sharing,33334703,Combining food delivery services with taxi driving to maximize efficiency.
standard bus,33334704,"I think it would be great to have a jitney-type bus that you could hail like a cab directly from the street.  The jitney would be electric powered and follow a specific route.  I think this would be great because I live in a town that has many tourists, but does not have a large population.  It could shuttle tourists to different areas, but the tourists wouldn't have to worry about a specific bus schedule.  The jitney could drive on streets that are not bus-accessible (some of our streets are ""old world"" and very narrow). There is also some frustration in my town about not having a vibrant night life because of lack of public transportation.  This jitney would allow people to go downtown, especially college students, and have some drinks without worrying about driving.  One of the stops would be the college campus. The jitney would have a very low fair to encourage people not to drink and drive.  This jitney would help downtown businesses and restaurants."
service - sharing,33334705,"I'm imagining a car sharing service with locations throughout the city where you can go pick up a car without having to reserve one in advance. Nor would you have to interact with any people at the pickup/dropoff location. It would be somehow automated. Perhaps you would subscribe to the service an at annual or monthly rate and be given a special kind of 'key' that would give access to any of the cars currently at the pick up location. It would be first come first serve, and there would be smart technology embedded in both the cars and the keys. Your universal key would be linked to your account, and the car you used would transmit all relevant information to the system. Such as , time of pick up. number of miles drive. amount of gas used. Then the fees would be adjusted accordingly based on the type of car you used, miles driven, gas consumed etc. all of this without any human employees and all the fuss that comes with tradiional car rental. Things like insurance and billing info would all be done upfront when a patron sets up an account. This is genius, the more i think about it!"
000noise,33334706,personal transportation is one of the best innovation.
00dnoise,33334707,pretty good
standard bike,33334708,"ROAD TRANSPORT - BICYCLE (GOOD EXERCISE FOR OUR WHOLE BODY, LOW COST AND NO POLLUTION."
standard bus,33334709,"Sleeper buses that pick you up after a night of drinking, and take you to your workplace in the morning, which include showers."
uber - bus,33334711,"Something like Uber or Lyft, but for getting kids to school. This way it's on an as needed basis rather than paying a flat fee for bus service that may not always be used for one reason or another. Especially when the child is staying late for practice or what not."
teleportation,33334712,"Telepads! The Transportation of the Future! Simply step on this portal pad, and you are instantly transported to your location! The movement of molecules into energy is completely safe, and many users only experience a minor burning sensation for a minute after the teleportation process. Forget flying cars, late trains or other outdated modes of transport, and tele away with Telepads!"
reting bike,33334713,There should be a place to rent bicycles for a nominal fee for a day like they do in the big cities. You can rent a bicycle and return it to any place that also rents the same bicycles. You could also rent scooters to be able to do small errands around town.
tubes,33334714,Vacuum tunnels like the ones that banks use. Get into a pod and set a destination.
standard rail system,33334715,"I think having a streetcar system would be amazing, it could be automated to accept fares, and would provide safe transportation for all."
human powered,33334730,"We have a lot of old and unused train tracks in my town, so I like to create some kind of manually powered train type vehicle that would each fit several people and could be propelled forward either manually for free or with power for a fee."
levitation,33334794,I imagine a magnetic public hovercraft system that goes to individual homes on a grid.
uber - bus,33334815,"My small rural town doesn't even have an intact bus system, so anything would be better than it is now. But I would like a service that has people who drive pick up trucks to help you move things. For instance, if you go to the store and purchase a new couch, I'd like to have something like Uber for Pick Up Trucks to call and have them bring my sofa home so that I don't have to pay for outragious delivery fees from the store."
service - sharing,33334819,"Help public transit bring people to holiday events,fairs, festivals and sporting events in my community. Be sure to  with my local public transit system"
